(0.10000038146972656, 0, 'out', 'prompt', 0, 195)
(0.20000004768371582, 1, 'out', 'prompt', 0, 421)
(0.3000001907348633, 2, 'out', 'prompt', 0, 1137)
(0.40000033378601074, 3, 'out', 'prompt', 0, 406)
(0.5, 4, 'out', 'prompt', 0, 121)
(0.6000006198883057, 5, 'out', 'prompt', 0, 1061)
(0.7000002861022949, 6, 'out', 'prompt', 0, 389)
(0.8000004291534424, 7, 'out', 'prompt', 0, 1069)
(0.9000000953674316, 8, 'out', 'prompt', 0, 1040)
(1.000000238418579, 9, 'out', 'prompt', 0, 423)
(1.1000003814697266, 10, 'out', 'prompt', 0, 210)
(1.200000286102295, 11, 'out', 'prompt', 0, 1345)
(1.3000004291534424, 12, 'out', 'prompt', 0, 394)
(1.4000003337860107, 13, 'out', 'prompt', 0, 1051)
(1.500000238418579, 14, 'out', 'prompt', 0, 1170)
(1.6000003814697266, 15, 'out', 'prompt', 0, 402)
(1.7000000476837158, 16, 'out', 'prompt', 0, 375)
(1.8000001907348633, 17, 'out', 'prompt', 0, 420)
(1.9000005722045898, 18, 'out', 'prompt', 0, 401)
(2.000000476837158, 19, 'out', 'prompt', 0, 414)
(7.260188579559326, 0, 'in', 'prompt', 0, 195)
(7.260188579559326, 20, 'out', 'prompt', 0, 238)
(7.260188579559326, 0, 'out', 'decode', 195, 1)
(7.730737209320068, 10, 'in', 'prompt', 0, 210)
(7.730737209320068, 21, 'out', 'prompt', 0, 1225)
(7.730737209320068, 10, 'out', 'decode', 210, 1)
(7.785913467407227, 4, 'in', 'prompt', 0, 121)
(7.785913467407227, 22, 'out', 'prompt', 0, 182)
(7.785913467407227, 4, 'out', 'decode', 121, 1)
(8.282705545425415, 1, 'in', 'prompt', 0, 421)
(8.282705545425415, 23, 'out', 'prompt', 0, 1104)
(8.282705545425415, 1, 'out', 'decode', 421, 1)
(9.576681852340698, 2, 'in', 'prompt', 0, 1137)
(9.576681852340698, 24, 'out', 'prompt', 0, 213)
(9.576681852340698, 2, 'out', 'decode', 1137, 1)
(9.643454313278198, 20, 'in', 'prompt', 0, 238)
(9.643454313278198, 25, 'out', 'prompt', 0, 406)
(9.643454313278198, 20, 'out', 'decode', 238, 1)
(10.017508268356323, 3, 'in', 'prompt', 0, 406)
(10.017508268356323, 26, 'out', 'prompt', 0, 210)
(10.017508268356323, 3, 'out', 'decode', 406, 1)
(10.353986501693726, 5, 'in', 'prompt', 0, 1061)
(10.353986501693726, 27, 'out', 'prompt', 0, 1317)
(10.353986501693726, 5, 'out', 'decode', 1061, 1)
(10.354389905929565, 6, 'in', 'prompt', 0, 389)
(10.354389905929565, 28, 'out', 'prompt', 0, 1063)
(10.354389905929565, 6, 'out', 'decode', 389, 1)
(10.667911291122437, 11, 'in', 'prompt', 0, 1345)
(10.667911291122437, 29, 'out', 'prompt', 0, 1067)
(10.667911291122437, 11, 'out', 'decode', 1345, 1)
(10.970739841461182, 7, 'in', 'prompt', 0, 1069)
(10.970739841461182, 30, 'out', 'prompt', 0, 1485)
(10.970739841461182, 7, 'out', 'decode', 1069, 1)
(11.173585176467896, 12, 'in', 'prompt', 0, 394)
(11.173585176467896, 31, 'out', 'prompt', 0, 410)
(11.173585176467896, 12, 'out', 'decode', 394, 1)
(11.515979766845703, 8, 'in', 'prompt', 0, 1040)
(11.515979766845703, 32, 'out', 'prompt', 0, 1093)
(11.515979766845703, 8, 'out', 'decode', 1040, 1)
(11.516339778900146, 9, 'in', 'prompt', 0, 423)
(11.516339778900146, 33, 'out', 'prompt', 0, 396)
(11.516339778900146, 9, 'out', 'decode', 423, 1)
(11.553470611572266, 10, 'in', 'decode', 210, 1)
(11.553470611572266, 10, 'out', 'decode', 211, 1)
(11.553550481796265, 4, 'in', 'decode', 121, 1)
(11.553550481796265, 4, 'out', 'decode', 122, 1)
(11.85643482208252, 13, 'in', 'prompt', 0, 1051)
(11.85643482208252, 34, 'out', 'prompt', 0, 204)
(11.85643482208252, 13, 'out', 'decode', 1051, 1)
(12.560929775238037, 14, 'in', 'prompt', 0, 1170)
(12.560929775238037, 35, 'out', 'prompt', 0, 1150)
(12.560929775238037, 14, 'out', 'decode', 1170, 1)
(12.86641812324524, 15, 'in', 'prompt', 0, 402)
(12.86641812324524, 36, 'out', 'prompt', 0, 222)
(12.86641812324524, 15, 'out', 'decode', 402, 1)
(13.250107526779175, 16, 'in', 'prompt', 0, 375)
(13.250107526779175, 37, 'out', 'prompt', 0, 379)
(13.250107526779175, 16, 'out', 'decode', 375, 1)
(13.25046706199646, 17, 'in', 'prompt', 0, 420)
(13.25046706199646, 38, 'out', 'prompt', 0, 204)
(13.25046706199646, 17, 'out', 'decode', 420, 1)
(13.25046706199646, 18, 'in', 'prompt', 0, 401)
(13.25046706199646, 39, 'out', 'prompt', 0, 1097)
(13.25046706199646, 18, 'out', 'decode', 401, 1)
(13.25046706199646, 19, 'in', 'prompt', 0, 414)
(13.25046706199646, 40, 'out', 'prompt', 0, 441)
(13.25046706199646, 19, 'out', 'decode', 414, 1)
(13.873626947402954, 21, 'in', 'prompt', 0, 1225)
(13.873626947402954, 41, 'out', 'prompt', 0, 1078)
(13.873626947402954, 21, 'out', 'decode', 1225, 1)
(14.375443696975708, 22, 'in', 'prompt', 0, 182)
