(0, 194, 96, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(1, 420, 124, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(2, 1136, 375, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(3, 237, 126, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(4, 405, 103, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(5, 1224, 433, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(6, 120, 12, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(7, 1060, 415, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(8, 388, 84, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(9, 1068, 429, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(10, 1039, 401, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(11, 181, 120, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(12, 1103, 414, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(13, 212, 183, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(14, 422, 144, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(15, 209, 193, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(16, 405, 94, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(17, 1344, 56, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(18, 209, 217, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(19, 393, 60, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(20, 1050, 397, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(21, 1316, 135, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(22, 1062, 415, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(23, 1169, 421, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(24, 1066, 415, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(25, 401, 109, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(26, 1484, 88, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(27, 409, 93, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(28, 374, 114, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(29, 419, 148, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(30, 1092, 389, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(31, 400, 89, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
