(0.10000061988830566, 0, 'out', 'prompt', 0, 195)
(0.20000028610229492, 1, 'out', 'prompt', 0, 421)
(0.3000006675720215, 2, 'out', 'prompt', 0, 1137)
(0.40000009536743164, 3, 'out', 'prompt', 0, 406)
(0.5000004768371582, 4, 'out', 'prompt', 0, 121)
(0.6000001430511475, 5, 'out', 'prompt', 0, 1061)
(0.6365525722503662, 0, 'in', 'prompt', 0, 195)
(0.6365525722503662, 6, 'out', 'prompt', 0, 238)
(0.6365525722503662, 0, 'out', 'decode', 195, 1)
(0.700000524520874, 7, 'out', 'prompt', 0, 389)
(0.8000006675720215, 8, 'out', 'prompt', 0, 1069)
(0.8064854145050049, 1, 'in', 'prompt', 0, 421)
(0.8064854145050049, 9, 'out', 'prompt', 0, 1225)
(0.8064854145050049, 1, 'out', 'decode', 421, 1)
(0.9000000953674316, 10, 'out', 'prompt', 0, 1040)
(1.0, 11, 'out', 'prompt', 0, 423)
(1.1000001430511475, 12, 'out', 'prompt', 0, 210)
(1.200000524520874, 13, 'out', 'prompt', 0, 1345)
(1.3000006675720215, 14, 'out', 'prompt', 0, 394)
(1.4000003337860107, 15, 'out', 'prompt', 0, 1051)
(1.5000007152557373, 16, 'out', 'prompt', 0, 1170)
(1.6000006198883057, 17, 'out', 'prompt', 0, 402)
(1.6839330196380615, 2, 'in', 'prompt', 0, 1137)
(1.6839330196380615, 18, 'out', 'prompt', 0, 182)
(1.6839330196380615, 2, 'out', 'decode', 1137, 1)
(1.700000286102295, 19, 'out', 'prompt', 0, 375)
(1.7842588424682617, 3, 'in', 'prompt', 0, 406)
(1.7842588424682617, 20, 'out', 'prompt', 0, 1104)
(1.7842588424682617, 3, 'out', 'decode', 406, 1)
(1.7844734191894531, 4, 'in', 'prompt', 0, 121)
(1.7844734191894531, 21, 'out', 'prompt', 0, 213)
(1.7844734191894531, 4, 'out', 'decode', 121, 1)
(1.8000001907348633, 22, 'out', 'prompt', 0, 420)
(1.9000003337860107, 23, 'out', 'prompt', 0, 401)
(1.9486677646636963, 5, 'in', 'prompt', 0, 1061)
(1.9486677646636963, 24, 'out', 'prompt', 0, 406)
(1.9486677646636963, 5, 'out', 'decode', 1061, 1)
(2.0000007152557373, 25, 'out', 'prompt', 0, 414)
