(0.10000085830688477, 0, 'out', 'prompt', 0, 195)
(0.20000028610229492, 1, 'out', 'prompt', 0, 421)
(0.3000004291534424, 2, 'out', 'prompt', 0, 1137)
(0.40000033378601074, 3, 'out', 'prompt', 0, 406)
(0.5000004768371582, 4, 'out', 'prompt', 0, 121)
(0.6000008583068848, 5, 'out', 'prompt', 0, 1061)
(0.7000000476837158, 6, 'out', 'prompt', 0, 389)
(0.8000001907348633, 7, 'out', 'prompt', 0, 1069)
(0.9000000953674316, 8, 'out', 'prompt', 0, 1040)
(1.0000004768371582, 9, 'out', 'prompt', 0, 423)
(1.1000008583068848, 10, 'out', 'prompt', 0, 210)
(1.200000524520874, 11, 'out', 'prompt', 0, 1345)
(1.3000001907348633, 12, 'out', 'prompt', 0, 394)
(1.4000005722045898, 13, 'out', 'prompt', 0, 1051)
(1.5000007152557373, 14, 'out', 'prompt', 0, 1170)
(1.6000001430511475, 15, 'out', 'prompt', 0, 402)
(1.700000524520874, 16, 'out', 'prompt', 0, 375)
(1.8000004291534424, 17, 'out', 'prompt', 0, 420)
(1.9000003337860107, 18, 'out', 'prompt', 0, 401)
(2.000000238418579, 19, 'out', 'prompt', 0, 414)
(17.059041500091553, 0, 'in', 'prompt', 0, 195)
(17.059041500091553, 20, 'out', 'prompt', 0, 238)
(17.059041500091553, 0, 'out', 'decode', 195, 1)
(17.929060220718384, 1, 'in', 'prompt', 0, 421)
(17.929060220718384, 21, 'out', 'prompt', 0, 1225)
(17.929060220718384, 1, 'out', 'decode', 421, 1)
(18.502384662628174, 10, 'in', 'prompt', 0, 210)
(18.502384662628174, 22, 'out', 'prompt', 0, 182)
(18.502384662628174, 10, 'out', 'decode', 210, 1)
(19.163594484329224, 2, 'in', 'prompt', 0, 1137)
(19.163594484329224, 23, 'out', 'prompt', 0, 1104)
(19.163594484329224, 2, 'out', 'decode', 1137, 1)
(19.163888931274414, 3, 'in', 'prompt', 0, 406)
(19.163888931274414, 24, 'out', 'prompt', 0, 213)
(19.163888931274414, 3, 'out', 'decode', 406, 1)
(19.163888931274414, 4, 'in', 'prompt', 0, 121)
(19.163888931274414, 25, 'out', 'prompt', 0, 406)
(19.163888931274414, 4, 'out', 'decode', 121, 1)
(19.163888931274414, 5, 'in', 'prompt', 0, 1061)
(19.163888931274414, 26, 'out', 'prompt', 0, 210)
(19.163888931274414, 5, 'out', 'decode', 1061, 1)
(19.163888931274414, 6, 'in', 'prompt', 0, 389)
(19.163888931274414, 27, 'out', 'prompt', 0, 1317)
(19.163888931274414, 6, 'out', 'decode', 389, 1)
(19.46655511856079, 11, 'in', 'prompt', 0, 1345)
(19.46655511856079, 28, 'out', 'prompt', 0, 1063)
(19.46655511856079, 11, 'out', 'decode', 1345, 1)
(19.92809271812439, 12, 'in', 'prompt', 0, 394)
(19.92809271812439, 29, 'out', 'prompt', 0, 1067)
(19.92809271812439, 12, 'out', 'decode', 394, 1)
(19.928422451019287, 13, 'in', 'prompt', 0, 1051)
(19.928422451019287, 30, 'out', 'prompt', 0, 1485)
(19.928422451019287, 13, 'out', 'decode', 1051, 1)
(19.928422451019287, 7, 'in', 'prompt', 0, 1069)
(19.928422451019287, 31, 'out', 'prompt', 0, 410)
(19.928422451019287, 7, 'out', 'decode', 1069, 1)
(20.354932069778442, 14, 'in', 'prompt', 0, 1170)
(20.354932069778442, 32, 'out', 'prompt', 0, 1093)
(20.354932069778442, 14, 'out', 'decode', 1170, 1)
(20.355235815048218, 15, 'in', 'prompt', 0, 402)
(20.355235815048218, 33, 'out', 'prompt', 0, 396)
(20.355235815048218, 15, 'out', 'decode', 402, 1)
(20.355235815048218, 16, 'in', 'prompt', 0, 375)
(20.355235815048218, 34, 'out', 'prompt', 0, 204)
(20.355235815048218, 16, 'out', 'decode', 375, 1)
(20.355235815048218, 17, 'in', 'prompt', 0, 420)
