(0, 405, 103, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(1, 120, 12, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(2, 1039, 401, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(3, 422, 144, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(4, 209, 193, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(5, 401, 109, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(6, 374, 114, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(7, 413, 106, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(8, 212, 183, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(9, 405, 94, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(10, 1066, 415, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(11, 1484, 88, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(12, 1092, 389, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(13, 203, 138, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(14, 1149, 398, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(15, 1096, 398, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(16, 440, 95, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(17, 1041, 400, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(18, 407, 115, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(19, 203, 162, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(20, 1245, 384, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(21, 397, 127, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(22, 395, 101, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(23, 1117, 427, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(24, 976, 40, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(25, 1195, 507, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(26, 1071, 395, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(27, 212, 217, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(28, 405, 94, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(29, 1316, 159, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(30, 402, 113, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(31, 394, 155, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(32, 405, 85, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(33, 1015, 409, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(34, 1210, 380, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(35, 200, 130, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(36, 1010, 411, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(37, 17, 81, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(38, 1335, 570, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(39, 379, 78, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(40, 1033, 396, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(41, 1999, 97, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(42, 1126, 447, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(43, 210, 64, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(44, 1065, 411, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(45, 1119, 413, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(46, 1083, 409, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(47, 401, 144, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(48, 406, 165, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(49, 1126, 397, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(50, 415, 142, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(51, 433, 87, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(52, 405, 94, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(53, 479, 75, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(54, 459, 387, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(55, 383, 57, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(56, 1130, 396, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(57, 422, 111, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(58, 1057, 440, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(59, 91, 24, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(60, 1548, 90, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(61, 945, 388, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(62, 1022, 443, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(63, 952, 82, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(64, 389, 126, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(65, 405, 93, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(66, 1755, 91, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(67, 203, 217, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(68, 1513, 36, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(69, 185, 138, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(70, 1127, 63, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(71, 1053, 446, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(72, 391, 86, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(73, 1028, 411, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(74, 1007, 395, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(75, 991, 108, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(76, 1039, 390, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(77, 962, 429, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(78, 1171, 388, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(79, 1085, 442, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(80, 1058, 483, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(81, 977, 429, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(82, 485, 91, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(83, 1000, 414, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(84, 1192, 646, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(85, 1337, 38, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(86, 996, 389, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(87, 380, 102, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
