(2.2738633155822754, 0, 'out', 'prompt', 0, 421)
(5.585055589675903, 0, 'in', 'prompt', 0, 421)
(5.585055589675903, 0, 'out', 'decode', 421, 1)
(6.1670379638671875, 0, 'in', 'decode', 421, 1)
(6.1670379638671875, 0, 'out', 'decode', 422, 1)
(6.4620890617370605, 0, 'in', 'decode', 422, 1)
(6.4620890617370605, 0, 'out', 'decode', 423, 1)
(6.756950616836548, 0, 'in', 'decode', 423, 1)
(6.756950616836548, 0, 'out', 'decode', 424, 1)
(7.054548263549805, 0, 'in', 'decode', 424, 1)
(7.054548263549805, 0, 'out', 'decode', 425, 1)
(7.352888345718384, 0, 'in', 'decode', 425, 1)
(7.352888345718384, 0, 'out', 'decode', 426, 1)
(7.651315450668335, 0, 'in', 'decode', 426, 1)
(7.651315450668335, 0, 'out', 'decode', 427, 1)
(7.949413776397705, 0, 'in', 'decode', 427, 1)
(7.949413776397705, 0, 'out', 'decode', 428, 1)
(8.2473783493042, 0, 'in', 'decode', 428, 1)
(8.2473783493042, 0, 'out', 'decode', 429, 1)
(8.546656370162964, 0, 'in', 'decode', 429, 1)
(8.546656370162964, 0, 'out', 'decode', 430, 1)
(8.844976663589478, 0, 'in', 'decode', 430, 1)
(8.844976663589478, 0, 'out', 'decode', 431, 1)
(9.145424127578735, 0, 'in', 'decode', 431, 1)
(9.145424127578735, 0, 'out', 'decode', 432, 1)
(9.445087671279907, 0, 'in', 'decode', 432, 1)
(9.445087671279907, 0, 'out', 'decode', 433, 1)
(9.744112968444824, 0, 'in', 'decode', 433, 1)
(9.744112968444824, 0, 'out', 'decode', 434, 1)
(10.042801856994629, 0, 'in', 'decode', 434, 1)
(10.042801856994629, 0, 'out', 'decode', 435, 1)
(10.341602325439453, 0, 'in', 'decode', 435, 1)
(10.341602325439453, 0, 'out', 'decode', 436, 1)
(10.457783460617065, 1, 'out', 'prompt', 0, 389)
(10.64154601097107, 0, 'in', 'decode', 436, 1)
(10.64154601097107, 0, 'out', 'decode', 437, 1)
(12.252783298492432, 1, 'in', 'prompt', 0, 389)
(12.252783298492432, 1, 'out', 'decode', 389, 1)
(12.279086112976074, 0, 'in', 'decode', 437, 1)
(12.279086112976074, 0, 'out', 'decode', 438, 1)
(12.546058177947998, 1, 'in', 'decode', 389, 1)
(12.546058177947998, 1, 'out', 'decode', 390, 1)
(12.571839570999146, 0, 'in', 'decode', 438, 1)
(12.571839570999146, 0, 'out', 'decode', 439, 1)
(12.838579654693604, 1, 'in', 'decode', 390, 1)
(12.838579654693604, 1, 'out', 'decode', 391, 1)
(12.864457130432129, 0, 'in', 'decode', 439, 1)
(12.864457130432129, 0, 'out', 'decode', 440, 1)
(13.074148178100586, 2, 'out', 'prompt', 0, 423)
(13.132541179656982, 1, 'in', 'decode', 391, 1)
(13.132541179656982, 1, 'out', 'decode', 392, 1)
(13.158153057098389, 0, 'in', 'decode', 440, 1)
(13.158153057098389, 0, 'out', 'decode', 441, 1)
(14.901325941085815, 2, 'in', 'prompt', 0, 423)
(14.901325941085815, 2, 'out', 'decode', 423, 1)
(14.934488534927368, 0, 'in', 'decode', 441, 1)
(14.934488534927368, 0, 'out', 'decode', 442, 1)
(14.934523105621338, 1, 'in', 'decode', 392, 1)
(14.934523105621338, 1, 'out', 'decode', 393, 1)
(15.194026947021484, 2, 'in', 'decode', 423, 1)
(15.194026947021484, 2, 'out', 'decode', 424, 1)
