(2.2738633155822754, 0, 'out', 'prompt', 0, 421)
(2.925433397293091, 0, 'in', 'prompt', 0, 421)
(2.925433397293091, 0, 'out', 'decode', 421, 1)
(3.3913393020629883, 0, 'in', 'decode', 421, 1)
(3.3913393020629883, 0, 'out', 'decode', 422, 1)
(3.67345929145813, 0, 'in', 'decode', 422, 1)
(3.67345929145813, 0, 'out', 'decode', 423, 1)
(3.9546937942504883, 0, 'in', 'decode', 423, 1)
(3.9546937942504883, 0, 'out', 'decode', 424, 1)
(4.235558271408081, 0, 'in', 'decode', 424, 1)
(4.235558271408081, 0, 'out', 'decode', 425, 1)
(4.517434120178223, 0, 'in', 'decode', 425, 1)
(4.517434120178223, 0, 'out', 'decode', 426, 1)
(4.798419952392578, 0, 'in', 'decode', 426, 1)
(4.798419952392578, 0, 'out', 'decode', 427, 1)
(5.07980489730835, 0, 'in', 'decode', 427, 1)
(5.07980489730835, 0, 'out', 'decode', 428, 1)
(5.360663890838623, 0, 'in', 'decode', 428, 1)
(5.360663890838623, 0, 'out', 'decode', 429, 1)
(5.64231276512146, 0, 'in', 'decode', 429, 1)
(5.64231276512146, 0, 'out', 'decode', 430, 1)
(5.9229576587677, 0, 'in', 'decode', 430, 1)
(5.9229576587677, 0, 'out', 'decode', 431, 1)
(6.2036638259887695, 0, 'in', 'decode', 431, 1)
(6.2036638259887695, 0, 'out', 'decode', 432, 1)
(6.485836029052734, 0, 'in', 'decode', 432, 1)
(6.485836029052734, 0, 'out', 'decode', 433, 1)
(6.767355442047119, 0, 'in', 'decode', 433, 1)
(6.767355442047119, 0, 'out', 'decode', 434, 1)
(7.04849648475647, 0, 'in', 'decode', 434, 1)
(7.04849648475647, 0, 'out', 'decode', 435, 1)
(7.329099893569946, 0, 'in', 'decode', 435, 1)
(7.329099893569946, 0, 'out', 'decode', 436, 1)
(7.610183000564575, 0, 'in', 'decode', 436, 1)
(7.610183000564575, 0, 'out', 'decode', 437, 1)
(7.8912482261657715, 0, 'in', 'decode', 437, 1)
(7.8912482261657715, 0, 'out', 'decode', 438, 1)
(8.17265248298645, 0, 'in', 'decode', 438, 1)
(8.17265248298645, 0, 'out', 'decode', 439, 1)
(8.454821825027466, 0, 'in', 'decode', 439, 1)
(8.454821825027466, 0, 'out', 'decode', 440, 1)
(8.736230850219727, 0, 'in', 'decode', 440, 1)
(8.736230850219727, 0, 'out', 'decode', 441, 1)
(9.017617464065552, 0, 'in', 'decode', 441, 1)
(9.017617464065552, 0, 'out', 'decode', 442, 1)
(9.298374652862549, 0, 'in', 'decode', 442, 1)
(9.298374652862549, 0, 'out', 'decode', 443, 1)
(9.579826354980469, 0, 'in', 'decode', 443, 1)
(9.579826354980469, 0, 'out', 'decode', 444, 1)
(9.861351490020752, 0, 'in', 'decode', 444, 1)
(9.861351490020752, 0, 'out', 'decode', 445, 1)
(10.143233060836792, 0, 'in', 'decode', 445, 1)
(10.143233060836792, 0, 'out', 'decode', 446, 1)
(10.42599105834961, 0, 'in', 'decode', 446, 1)
(10.42599105834961, 0, 'out', 'decode', 447, 1)
(10.457783460617065, 1, 'out', 'prompt', 0, 389)
(10.70708441734314, 0, 'in', 'decode', 447, 1)
(10.70708441734314, 0, 'out', 'decode', 448, 1)
(11.053001880645752, 1, 'in', 'prompt', 0, 389)
(11.053001880645752, 1, 'out', 'decode', 389, 1)
(11.092250108718872, 0, 'in', 'decode', 448, 1)
(11.092250108718872, 0, 'out', 'decode', 449, 1)
(11.334874868392944, 1, 'in', 'decode', 389, 1)
(11.334874868392944, 1, 'out', 'decode', 390, 1)
(11.373788595199585, 0, 'in', 'decode', 449, 1)
(11.373788595199585, 0, 'out', 'decode', 450, 1)
(11.615893125534058, 1, 'in', 'decode', 390, 1)
(11.615893125534058, 1, 'out', 'decode', 391, 1)
(11.654801607131958, 0, 'in', 'decode', 450, 1)
(11.654801607131958, 0, 'out', 'decode', 451, 1)
(11.896037340164185, 1, 'in', 'decode', 391, 1)
(11.896037340164185, 1, 'out', 'decode', 392, 1)
(11.934888124465942, 0, 'in', 'decode', 451, 1)
(11.934888124465942, 0, 'out', 'decode', 452, 1)
(12.17607855796814, 1, 'in', 'decode', 392, 1)
(12.17607855796814, 1, 'out', 'decode', 393, 1)
(12.214913845062256, 0, 'in', 'decode', 452, 1)
(12.214913845062256, 0, 'out', 'decode', 453, 1)
(12.456758260726929, 1, 'in', 'decode', 393, 1)
(12.456758260726929, 1, 'out', 'decode', 394, 1)
(12.49567174911499, 0, 'in', 'decode', 453, 1)
(12.49567174911499, 0, 'out', 'decode', 454, 1)
(12.737183094024658, 1, 'in', 'decode', 394, 1)
(12.737183094024658, 1, 'out', 'decode', 395, 1)
(12.776143312454224, 0, 'in', 'decode', 454, 1)
(12.776143312454224, 0, 'out', 'decode', 455, 1)
(13.017852783203125, 1, 'in', 'decode', 395, 1)
(13.017852783203125, 1, 'out', 'decode', 396, 1)
(13.056789636611938, 0, 'in', 'decode', 455, 1)
(13.056789636611938, 0, 'out', 'decode', 456, 1)
(13.298866987228394, 1, 'in', 'decode', 396, 1)
(13.298866987228394, 1, 'out', 'decode', 397, 1)
(13.337889194488525, 0, 'in', 'decode', 456, 1)
(13.337889194488525, 0, 'out', 'decode', 457, 1)
(13.57978367805481, 1, 'in', 'decode', 397, 1)
(13.57978367805481, 1, 'out', 'decode', 398, 1)
(13.61879277229309, 0, 'in', 'decode', 457, 1)
(13.61879277229309, 0, 'out', 'decode', 458, 1)
(13.859840393066406, 1, 'in', 'decode', 398, 1)
(13.859840393066406, 1, 'out', 'decode', 399, 1)
(13.898784160614014, 0, 'in', 'decode', 458, 1)
(13.898784160614014, 0, 'out', 'decode', 459, 1)
(14.140310287475586, 1, 'in', 'decode', 399, 1)
(14.140310287475586, 1, 'out', 'decode', 400, 1)
(14.179239988327026, 0, 'in', 'decode', 459, 1)
(14.179239988327026, 0, 'out', 'decode', 460, 1)
(14.420422792434692, 1, 'in', 'decode', 400, 1)
(14.420422792434692, 1, 'out', 'decode', 401, 1)
(14.459423542022705, 0, 'in', 'decode', 460, 1)
(14.459423542022705, 0, 'out', 'decode', 461, 1)
(14.701937675476074, 1, 'in', 'decode', 401, 1)
(14.701937675476074, 1, 'out', 'decode', 402, 1)
(14.740828037261963, 0, 'in', 'decode', 461, 1)
(14.740828037261963, 0, 'out', 'decode', 462, 1)
(14.984148740768433, 1, 'in', 'decode', 402, 1)
(14.984148740768433, 1, 'out', 'decode', 403, 1)
(15.023119688034058, 0, 'in', 'decode', 462, 1)
(15.023119688034058, 0, 'out', 'decode', 463, 1)
(15.26532506942749, 1, 'in', 'decode', 403, 1)
(15.26532506942749, 1, 'out', 'decode', 404, 1)
(15.304253578186035, 0, 'in', 'decode', 463, 1)
(15.304253578186035, 0, 'out', 'decode', 464, 1)
(15.54739761352539, 1, 'in', 'decode', 404, 1)
(15.54739761352539, 1, 'out', 'decode', 405, 1)
(15.586308240890503, 0, 'in', 'decode', 464, 1)
(15.586308240890503, 0, 'out', 'decode', 465, 1)
(15.828203201293945, 1, 'in', 'decode', 405, 1)
(15.828203201293945, 1, 'out', 'decode', 406, 1)
(15.867140531539917, 0, 'in', 'decode', 465, 1)
(15.867140531539917, 0, 'out', 'decode', 466, 1)
(16.108992099761963, 1, 'in', 'decode', 406, 1)
(16.108992099761963, 1, 'out', 'decode', 407, 1)
(16.147830963134766, 0, 'in', 'decode', 466, 1)
(16.147830963134766, 0, 'out', 'decode', 467, 1)
(16.38919973373413, 1, 'in', 'decode', 407, 1)
(16.38919973373413, 1, 'out', 'decode', 408, 1)
(16.42824387550354, 0, 'in', 'decode', 467, 1)
(16.42824387550354, 0, 'out', 'decode', 468, 1)
(16.669525384902954, 1, 'in', 'decode', 408, 1)
(16.669525384902954, 1, 'out', 'decode', 409, 1)
(16.708565711975098, 0, 'in', 'decode', 468, 1)
(16.708565711975098, 0, 'out', 'decode', 469, 1)
(16.75014615058899, 2, 'out', 'prompt', 0, 423)
(16.950639247894287, 1, 'in', 'decode', 409, 1)
(16.950639247894287, 1, 'out', 'decode', 410, 1)
(16.989633083343506, 0, 'in', 'decode', 469, 1)
(16.989633083343506, 0, 'out', 'decode', 470, 1)
(17.358577728271484, 2, 'in', 'prompt', 0, 423)
(17.358577728271484, 2, 'out', 'decode', 423, 1)
(17.401851892471313, 0, 'in', 'decode', 470, 1)
(17.401851892471313, 0, 'out', 'decode', 471, 1)
(17.401859045028687, 1, 'in', 'decode', 410, 1)
(17.401859045028687, 1, 'out', 'decode', 411, 1)
(17.64105224609375, 2, 'in', 'decode', 423, 1)
(17.64105224609375, 2, 'out', 'decode', 424, 1)
(17.7052001953125, 0, 'in', 'decode', 471, 1)
(17.7052001953125, 0, 'out', 'decode', 472, 1)
(17.705209732055664, 1, 'in', 'decode', 411, 1)
(17.705209732055664, 1, 'out', 'decode', 412, 1)
(17.921595573425293, 2, 'in', 'decode', 424, 1)
(17.921595573425293, 2, 'out', 'decode', 425, 1)
(17.99898099899292, 0, 'in', 'decode', 472, 1)
(17.99898099899292, 0, 'out', 'decode', 473, 1)
(17.998990058898926, 1, 'in', 'decode', 412, 1)
(17.998990058898926, 1, 'out', 'decode', 413, 1)
(18.202428579330444, 2, 'in', 'decode', 425, 1)
(18.202428579330444, 2, 'out', 'decode', 426, 1)
(18.293448448181152, 0, 'in', 'decode', 473, 1)
