(2.2738633155822754, 0, 'out', 'prompt', 0, 421)
(5.459571599960327, 0, 'in', 'prompt', 0, 421)
(5.459571599960327, 0, 'out', 'decode', 421, 1)
(6.0505781173706055, 0, 'in', 'decode', 421, 1)
(6.0505781173706055, 0, 'out', 'decode', 422, 1)
(6.3492271900177, 0, 'in', 'decode', 422, 1)
(6.3492271900177, 0, 'out', 'decode', 423, 1)
(6.647470235824585, 0, 'in', 'decode', 423, 1)
(6.647470235824585, 0, 'out', 'decode', 424, 1)
(6.944585084915161, 0, 'in', 'decode', 424, 1)
(6.944585084915161, 0, 'out', 'decode', 425, 1)
(7.2434892654418945, 0, 'in', 'decode', 425, 1)
(7.2434892654418945, 0, 'out', 'decode', 426, 1)
(7.5421271324157715, 0, 'in', 'decode', 426, 1)
(7.5421271324157715, 0, 'out', 'decode', 427, 1)
(7.841856479644775, 0, 'in', 'decode', 427, 1)
(7.841856479644775, 0, 'out', 'decode', 428, 1)
(8.142819881439209, 0, 'in', 'decode', 428, 1)
(8.142819881439209, 0, 'out', 'decode', 429, 1)
(8.441812515258789, 0, 'in', 'decode', 429, 1)
(8.441812515258789, 0, 'out', 'decode', 430, 1)
(8.740112781524658, 0, 'in', 'decode', 430, 1)
(8.740112781524658, 0, 'out', 'decode', 431, 1)
(9.039177894592285, 0, 'in', 'decode', 431, 1)
(9.039177894592285, 0, 'out', 'decode', 432, 1)
(9.338460206985474, 0, 'in', 'decode', 432, 1)
(9.338460206985474, 0, 'out', 'decode', 433, 1)
(9.636577844619751, 0, 'in', 'decode', 433, 1)
(9.636577844619751, 0, 'out', 'decode', 434, 1)
(9.935580015182495, 0, 'in', 'decode', 434, 1)
(9.935580015182495, 0, 'out', 'decode', 435, 1)
(10.23464035987854, 0, 'in', 'decode', 435, 1)
(10.23464035987854, 0, 'out', 'decode', 436, 1)
(10.457783460617065, 1, 'out', 'prompt', 0, 389)
(10.535151958465576, 0, 'in', 'decode', 436, 1)
(10.535151958465576, 0, 'out', 'decode', 437, 1)
(12.245525360107422, 1, 'in', 'prompt', 0, 389)
(12.245525360107422, 1, 'out', 'decode', 389, 1)
(12.273652791976929, 0, 'in', 'decode', 437, 1)
(12.273652791976929, 0, 'out', 'decode', 438, 1)
(12.540367364883423, 1, 'in', 'decode', 389, 1)
(12.540367364883423, 1, 'out', 'decode', 390, 1)
(12.566908121109009, 0, 'in', 'decode', 438, 1)
(12.566908121109009, 0, 'out', 'decode', 439, 1)
(12.833036184310913, 1, 'in', 'decode', 390, 1)
(12.833036184310913, 1, 'out', 'decode', 391, 1)
(12.859196186065674, 0, 'in', 'decode', 439, 1)
(12.859196186065674, 0, 'out', 'decode', 440, 1)
(13.12506628036499, 1, 'in', 'decode', 391, 1)
(13.12506628036499, 1, 'out', 'decode', 392, 1)
(13.150900840759277, 0, 'in', 'decode', 440, 1)
(13.150900840759277, 0, 'out', 'decode', 441, 1)
(13.418347120285034, 1, 'in', 'decode', 392, 1)
(13.418347120285034, 1, 'out', 'decode', 393, 1)
(13.444128274917603, 0, 'in', 'decode', 441, 1)
(13.444128274917603, 0, 'out', 'decode', 442, 1)
(13.712374925613403, 1, 'in', 'decode', 393, 1)
(13.712374925613403, 1, 'out', 'decode', 394, 1)
(13.738754987716675, 0, 'in', 'decode', 442, 1)
(13.738754987716675, 0, 'out', 'decode', 443, 1)
(14.009350776672363, 1, 'in', 'decode', 394, 1)
(14.009350776672363, 1, 'out', 'decode', 395, 1)
