(1.2617154121398926, 0, 'out', 'prompt', 0, 406)
(2.2738635540008545, 1, 'out', 'prompt', 0, 121)
(2.949547052383423, 1, 'in', 'prompt', 0, 121)
(2.949547052383423, 1, 'out', 'decode', 121, 1)
(3.3985230922698975, 1, 'in', 'decode', 121, 1)
(3.3985230922698975, 1, 'out', 'decode', 122, 1)
(3.603421688079834, 1, 'in', 'decode', 122, 1)
(3.603421688079834, 1, 'out', 'decode', 123, 1)
(3.9227824211120605, 1, 'in', 'decode', 123, 1)
(3.9227824211120605, 1, 'out', 'decode', 124, 1)
(4.127012252807617, 1, 'in', 'decode', 124, 1)
(4.127012252807617, 1, 'out', 'decode', 125, 1)
(4.196428537368774, 0, 'in', 'prompt', 0, 406)
(4.196428537368774, 0, 'out', 'decode', 406, 1)
(4.329931735992432, 1, 'in', 'decode', 125, 1)
(4.329931735992432, 1, 'out', 'decode', 126, 1)
(4.5183775424957275, 0, 'in', 'decode', 406, 1)
(4.5183775424957275, 0, 'out', 'decode', 407, 1)
(4.532742738723755, 1, 'in', 'decode', 126, 1)
(4.532742738723755, 1, 'out', 'decode', 127, 1)
(4.72612452507019, 0, 'in', 'decode', 407, 1)
(4.72612452507019, 0, 'out', 'decode', 408, 1)
(4.752058029174805, 1, 'in', 'decode', 127, 1)
(4.752058029174805, 1, 'out', 'decode', 128, 1)
(4.933633089065552, 0, 'in', 'decode', 408, 1)
(4.933633089065552, 0, 'out', 'decode', 409, 1)
(4.959053993225098, 1, 'in', 'decode', 128, 1)
(4.959053993225098, 1, 'out', 'decode', 129, 1)
(5.141863107681274, 0, 'in', 'decode', 409, 1)
(5.141863107681274, 0, 'out', 'decode', 410, 1)
(5.167403936386108, 1, 'in', 'decode', 129, 1)
(5.167403936386108, 1, 'out', 'decode', 130, 1)
(5.349716663360596, 0, 'in', 'decode', 410, 1)
(5.349716663360596, 0, 'out', 'decode', 411, 1)
(5.376669406890869, 1, 'in', 'decode', 130, 1)
(5.376669406890869, 1, 'out', 'decode', 131, 1)
(5.489558935165405, 2, 'out', 'prompt', 0, 1069)
(5.557029962539673, 0, 'in', 'decode', 411, 1)
(5.557029962539673, 0, 'out', 'decode', 412, 1)
(5.5842766761779785, 1, 'in', 'decode', 131, 1)
(5.754703521728516, 3, 'out', 'prompt', 0, 1040)
(5.974133729934692, 0, 'in', 'decode', 412, 1)
(5.974133729934692, 0, 'out', 'decode', 413, 1)
(6.353586912155151, 0, 'in', 'decode', 413, 1)
(6.353586912155151, 0, 'out', 'decode', 414, 1)
(6.691553354263306, 0, 'in', 'decode', 414, 1)
(6.691553354263306, 0, 'out', 'decode', 415, 1)
(6.90067458152771, 0, 'in', 'decode', 415, 1)
(6.90067458152771, 0, 'out', 'decode', 416, 1)
(7.109656572341919, 0, 'in', 'decode', 416, 1)
(7.109656572341919, 0, 'out', 'decode', 417, 1)
(7.432417869567871, 3, 'in', 'prompt', 0, 1040)
(7.432417869567871, 3, 'out', 'decode', 1040, 1)
(7.506840467453003, 2, 'in', 'prompt', 0, 1069)
(7.506840467453003, 2, 'out', 'decode', 1069, 1)
(7.53740930557251, 0, 'in', 'decode', 417, 1)
(7.53740930557251, 0, 'out', 'decode', 418, 1)
(7.73115086555481, 3, 'in', 'decode', 1040, 1)
(7.73115086555481, 3, 'out', 'decode', 1041, 1)
(7.770446062088013, 2, 'in', 'decode', 1069, 1)
(7.770446062088013, 2, 'out', 'decode', 1070, 1)
(7.801096200942993, 0, 'in', 'decode', 418, 1)
(7.801096200942993, 0, 'out', 'decode', 419, 1)
(7.93833327293396, 3, 'in', 'decode', 1041, 1)
(7.93833327293396, 3, 'out', 'decode', 1042, 1)
(7.9770050048828125, 2, 'in', 'decode', 1070, 1)
(7.9770050048828125, 2, 'out', 'decode', 1071, 1)
(8.006989479064941, 0, 'in', 'decode', 419, 1)
(8.006989479064941, 0, 'out', 'decode', 420, 1)
(8.145467758178711, 3, 'in', 'decode', 1042, 1)
(8.145467758178711, 3, 'out', 'decode', 1043, 1)
(8.183903694152832, 2, 'in', 'decode', 1071, 1)
(8.183903694152832, 2, 'out', 'decode', 1072, 1)
(8.213874578475952, 0, 'in', 'decode', 420, 1)
(8.213874578475952, 0, 'out', 'decode', 421, 1)
(8.353192567825317, 3, 'in', 'decode', 1043, 1)
(8.353192567825317, 3, 'out', 'decode', 1044, 1)
(8.390751361846924, 2, 'in', 'decode', 1072, 1)
(8.390751361846924, 2, 'out', 'decode', 1073, 1)
(8.420445203781128, 0, 'in', 'decode', 421, 1)
(8.420445203781128, 0, 'out', 'decode', 422, 1)
(8.560967206954956, 3, 'in', 'decode', 1044, 1)
(8.560967206954956, 3, 'out', 'decode', 1045, 1)
(8.597256183624268, 2, 'in', 'decode', 1073, 1)
(8.597256183624268, 2, 'out', 'decode', 1074, 1)
(8.627201795578003, 0, 'in', 'decode', 422, 1)
(8.627201795578003, 0, 'out', 'decode', 423, 1)
(8.77019214630127, 3, 'in', 'decode', 1045, 1)
(8.77019214630127, 3, 'out', 'decode', 1046, 1)
(8.805306196212769, 2, 'in', 'decode', 1074, 1)
(8.805306196212769, 2, 'out', 'decode', 1075, 1)
(8.835842609405518, 0, 'in', 'decode', 423, 1)
(8.835842609405518, 0, 'out', 'decode', 424, 1)
(8.978410720825195, 3, 'in', 'decode', 1046, 1)
(8.978410720825195, 3, 'out', 'decode', 1047, 1)
(9.013315439224243, 2, 'in', 'decode', 1075, 1)
(9.013315439224243, 2, 'out', 'decode', 1076, 1)
(9.043407440185547, 0, 'in', 'decode', 424, 1)
(9.043407440185547, 0, 'out', 'decode', 425, 1)
(9.187441110610962, 3, 'in', 'decode', 1047, 1)
(9.187441110610962, 3, 'out', 'decode', 1048, 1)
(9.222336053848267, 2, 'in', 'decode', 1076, 1)
(9.222336053848267, 2, 'out', 'decode', 1077, 1)
(9.252186298370361, 0, 'in', 'decode', 425, 1)
(9.252186298370361, 0, 'out', 'decode', 426, 1)
(9.396796703338623, 3, 'in', 'decode', 1048, 1)
(9.396796703338623, 3, 'out', 'decode', 1049, 1)
(9.430485725402832, 2, 'in', 'decode', 1077, 1)
(9.430485725402832, 2, 'out', 'decode', 1078, 1)
(9.46067762374878, 0, 'in', 'decode', 426, 1)
(9.46067762374878, 0, 'out', 'decode', 427, 1)
(9.605682373046875, 3, 'in', 'decode', 1049, 1)
(9.605682373046875, 3, 'out', 'decode', 1050, 1)
(9.64015817642212, 2, 'in', 'decode', 1078, 1)
(9.64015817642212, 2, 'out', 'decode', 1079, 1)
(9.670596837997437, 0, 'in', 'decode', 427, 1)
(9.670596837997437, 0, 'out', 'decode', 428, 1)
(9.815093994140625, 3, 'in', 'decode', 1050, 1)
(9.815093994140625, 3, 'out', 'decode', 1051, 1)
(9.845513582229614, 4, 'out', 'prompt', 0, 1170)
(9.84946584701538, 2, 'in', 'decode', 1079, 1)
(9.84946584701538, 2, 'out', 'decode', 1080, 1)
(9.879677057266235, 0, 'in', 'decode', 428, 1)
(9.879677057266235, 0, 'out', 'decode', 429, 1)
(10.02577519416809, 3, 'in', 'decode', 1051, 1)
(10.02577519416809, 3, 'out', 'decode', 1052, 1)
(10.352858066558838, 2, 'in', 'decode', 1080, 1)
(10.352858066558838, 2, 'out', 'decode', 1081, 1)
(10.380369663238525, 3, 'in', 'decode', 1052, 1)
(10.380369663238525, 3, 'out', 'decode', 1053, 1)
(10.383218050003052, 0, 'in', 'decode', 429, 1)
(10.383218050003052, 0, 'out', 'decode', 430, 1)
(10.514060974121094, 5, 'out', 'prompt', 0, 402)
(10.564445972442627, 2, 'in', 'decode', 1081, 1)
(10.564445972442627, 2, 'out', 'decode', 1082, 1)
(10.592058897018433, 3, 'in', 'decode', 1053, 1)
(10.592058897018433, 3, 'out', 'decode', 1054, 1)
(10.616071224212646, 0, 'in', 'decode', 430, 1)
(10.616071224212646, 0, 'out', 'decode', 431, 1)
(10.84368109703064, 0, 'in', 'decode', 431, 1)
(10.84368109703064, 0, 'out', 'decode', 432, 1)
(10.874694347381592, 2, 'in', 'decode', 1082, 1)
(10.874694347381592, 2, 'out', 'decode', 1083, 1)
(10.902127742767334, 3, 'in', 'decode', 1054, 1)
(10.902127742767334, 3, 'out', 'decode', 1055, 1)
(11.053576231002808, 0, 'in', 'decode', 432, 1)
(11.053576231002808, 0, 'out', 'decode', 433, 1)
(11.163037061691284, 2, 'in', 'decode', 1083, 1)
(11.163037061691284, 2, 'out', 'decode', 1084, 1)
(11.163113355636597, 3, 'in', 'decode', 1055, 1)
(11.163113355636597, 3, 'out', 'decode', 1056, 1)
(11.373788356781006, 3, 'in', 'decode', 1056, 1)
(11.373788356781006, 3, 'out', 'decode', 1057, 1)
(11.37523078918457, 5, 'in', 'prompt', 0, 402)
(11.37523078918457, 5, 'out', 'decode', 402, 1)
(11.406508684158325, 2, 'in', 'decode', 1084, 1)
(11.406508684158325, 2, 'out', 'decode', 1085, 1)
(11.533766031265259, 0, 'in', 'decode', 433, 1)
(11.533766031265259, 0, 'out', 'decode', 434, 1)
(11.5851891040802, 3, 'in', 'decode', 1057, 1)
(11.5851891040802, 3, 'out', 'decode', 1058, 1)
(11.61017918586731, 5, 'in', 'decode', 402, 1)
(11.61017918586731, 5, 'out', 'decode', 403, 1)
(11.633856058120728, 4, 'in', 'prompt', 0, 1170)
(11.633856058120728, 4, 'out', 'decode', 1170, 1)
(11.640488862991333, 2, 'in', 'decode', 1085, 1)
(11.640488862991333, 2, 'out', 'decode', 1086, 1)
(11.739209651947021, 0, 'in', 'decode', 434, 1)
(11.739209651947021, 0, 'out', 'decode', 435, 1)
(11.792941331863403, 3, 'in', 'decode', 1058, 1)
(11.792941331863403, 3, 'out', 'decode', 1059, 1)
(11.818187236785889, 5, 'in', 'decode', 403, 1)
(11.818187236785889, 5, 'out', 'decode', 404, 1)
(11.84171724319458, 4, 'in', 'decode', 1170, 1)
(11.84171724319458, 4, 'out', 'decode', 1171, 1)
(11.870004415512085, 2, 'in', 'decode', 1086, 1)
(11.870004415512085, 2, 'out', 'decode', 1087, 1)
(11.944716453552246, 0, 'in', 'decode', 435, 1)
(11.944716453552246, 0, 'out', 'decode', 436, 1)
(12.000931024551392, 3, 'in', 'decode', 1059, 1)
(12.000931024551392, 3, 'out', 'decode', 1060, 1)
(12.026753425598145, 5, 'in', 'decode', 404, 1)
(12.026753425598145, 5, 'out', 'decode', 405, 1)
(12.049436092376709, 4, 'in', 'decode', 1171, 1)
(12.049436092376709, 4, 'out', 'decode', 1172, 1)
(12.078253746032715, 2, 'in', 'decode', 1087, 1)
(12.078253746032715, 2, 'out', 'decode', 1088, 1)
(12.149213314056396, 0, 'in', 'decode', 436, 1)
(12.149213314056396, 0, 'out', 'decode', 437, 1)
(12.208386182785034, 3, 'in', 'decode', 1060, 1)
(12.208386182785034, 3, 'out', 'decode', 1061, 1)
(12.234581232070923, 5, 'in', 'decode', 405, 1)
(12.234581232070923, 5, 'out', 'decode', 406, 1)
(12.257612943649292, 4, 'in', 'decode', 1172, 1)
(12.257612943649292, 4, 'out', 'decode', 1173, 1)
(12.286974668502808, 2, 'in', 'decode', 1088, 1)
(12.286974668502808, 2, 'out', 'decode', 1089, 1)
(12.35392141342163, 0, 'in', 'decode', 437, 1)
(12.35392141342163, 0, 'out', 'decode', 438, 1)
(12.415958166122437, 3, 'in', 'decode', 1061, 1)
(12.415958166122437, 3, 'out', 'decode', 1062, 1)
(12.442214727401733, 5, 'in', 'decode', 406, 1)
(12.442214727401733, 5, 'out', 'decode', 407, 1)
(12.465283632278442, 4, 'in', 'decode', 1173, 1)
(12.465283632278442, 4, 'out', 'decode', 1174, 1)
(12.495037078857422, 2, 'in', 'decode', 1089, 1)
(12.495037078857422, 2, 'out', 'decode', 1090, 1)
(12.558473587036133, 0, 'in', 'decode', 438, 1)
(12.558473587036133, 0, 'out', 'decode', 439, 1)
(12.624974250793457, 3, 'in', 'decode', 1062, 1)
(12.624974250793457, 3, 'out', 'decode', 1063, 1)
(12.651335000991821, 5, 'in', 'decode', 407, 1)
(12.651335000991821, 5, 'out', 'decode', 408, 1)
(12.67302680015564, 4, 'in', 'decode', 1174, 1)
(12.67302680015564, 4, 'out', 'decode', 1175, 1)
(12.70272946357727, 2, 'in', 'decode', 1090, 1)
(12.70272946357727, 2, 'out', 'decode', 1091, 1)
(12.762593507766724, 0, 'in', 'decode', 439, 1)
(12.762593507766724, 0, 'out', 'decode', 440, 1)
(12.83250117301941, 3, 'in', 'decode', 1063, 1)
(12.83250117301941, 3, 'out', 'decode', 1064, 1)
(12.859210014343262, 5, 'in', 'decode', 408, 1)
(12.859210014343262, 5, 'out', 'decode', 409, 1)
(12.882228374481201, 4, 'in', 'decode', 1175, 1)
(12.882228374481201, 4, 'out', 'decode', 1176, 1)
(12.91167426109314, 2, 'in', 'decode', 1091, 1)
(12.91167426109314, 2, 'out', 'decode', 1092, 1)
(12.967172384262085, 0, 'in', 'decode', 440, 1)
(12.967172384262085, 0, 'out', 'decode', 441, 1)
(13.04126238822937, 3, 'in', 'decode', 1064, 1)
(13.04126238822937, 3, 'out', 'decode', 1065, 1)
(13.066363096237183, 5, 'in', 'decode', 409, 1)
(13.066363096237183, 5, 'out', 'decode', 410, 1)
(13.090709447860718, 4, 'in', 'decode', 1176, 1)
(13.090709447860718, 4, 'out', 'decode', 1177, 1)
(13.118967771530151, 2, 'in', 'decode', 1092, 1)
(13.118967771530151, 2, 'out', 'decode', 1093, 1)
(13.171387434005737, 0, 'in', 'decode', 441, 1)
(13.171387434005737, 0, 'out', 'decode', 442, 1)
(13.250427961349487, 3, 'in', 'decode', 1065, 1)
(13.250427961349487, 3, 'out', 'decode', 1066, 1)
(13.276452779769897, 5, 'in', 'decode', 410, 1)
(13.276452779769897, 5, 'out', 'decode', 411, 1)
(13.297936916351318, 4, 'in', 'decode', 1177, 1)
(13.297936916351318, 4, 'out', 'decode', 1178, 1)
(13.326664924621582, 2, 'in', 'decode', 1093, 1)
(13.326664924621582, 2, 'out', 'decode', 1094, 1)
(13.376220703125, 0, 'in', 'decode', 442, 1)
(13.376220703125, 0, 'out', 'decode', 443, 1)
(13.458890676498413, 3, 'in', 'decode', 1066, 1)
(13.458890676498413, 3, 'out', 'decode', 1067, 1)
(13.484499216079712, 5, 'in', 'decode', 411, 1)
(13.484499216079712, 5, 'out', 'decode', 412, 1)
(13.509241580963135, 4, 'in', 'decode', 1178, 1)
(13.509241580963135, 4, 'out', 'decode', 1179, 1)
(13.536902666091919, 2, 'in', 'decode', 1094, 1)
(13.536902666091919, 2, 'out', 'decode', 1095, 1)
(13.580809593200684, 0, 'in', 'decode', 443, 1)
(13.580809593200684, 0, 'out', 'decode', 444, 1)
(13.668049335479736, 3, 'in', 'decode', 1067, 1)
(13.668049335479736, 3, 'out', 'decode', 1068, 1)
(13.692897319793701, 5, 'in', 'decode', 412, 1)
(13.692897319793701, 5, 'out', 'decode', 413, 1)
(13.71739149093628, 4, 'in', 'decode', 1179, 1)
(13.71739149093628, 4, 'out', 'decode', 1180, 1)
(13.744736433029175, 2, 'in', 'decode', 1095, 1)
(13.744736433029175, 2, 'out', 'decode', 1096, 1)
(13.785215139389038, 0, 'in', 'decode', 444, 1)
(13.785215139389038, 0, 'out', 'decode', 445, 1)
(13.877949237823486, 3, 'in', 'decode', 1068, 1)
(13.877949237823486, 3, 'out', 'decode', 1069, 1)
(13.902026176452637, 5, 'in', 'decode', 413, 1)
(13.902026176452637, 5, 'out', 'decode', 414, 1)
(13.924977540969849, 4, 'in', 'decode', 1180, 1)
(13.924977540969849, 4, 'out', 'decode', 1181, 1)
(13.952889680862427, 2, 'in', 'decode', 1096, 1)
(13.952889680862427, 2, 'out', 'decode', 1097, 1)
(13.989947080612183, 0, 'in', 'decode', 445, 1)
(13.989947080612183, 0, 'out', 'decode', 446, 1)
(14.088973999023438, 3, 'in', 'decode', 1069, 1)
(14.088973999023438, 3, 'out', 'decode', 1070, 1)
(14.114545583724976, 5, 'in', 'decode', 414, 1)
(14.114545583724976, 5, 'out', 'decode', 415, 1)
(14.13411569595337, 4, 'in', 'decode', 1181, 1)
(14.13411569595337, 4, 'out', 'decode', 1182, 1)
(14.162503242492676, 2, 'in', 'decode', 1097, 1)
(14.162503242492676, 2, 'out', 'decode', 1098, 1)
(14.194281101226807, 0, 'in', 'decode', 446, 1)
(14.194281101226807, 0, 'out', 'decode', 447, 1)
(14.300283193588257, 3, 'in', 'decode', 1070, 1)
(14.300283193588257, 3, 'out', 'decode', 1071, 1)
(14.324915647506714, 5, 'in', 'decode', 415, 1)
(14.324915647506714, 5, 'out', 'decode', 416, 1)
(14.346511840820312, 4, 'in', 'decode', 1182, 1)
(14.346511840820312, 4, 'out', 'decode', 1183, 1)
(14.374206781387329, 2, 'in', 'decode', 1098, 1)
(14.374206781387329, 2, 'out', 'decode', 1099, 1)
(14.404119968414307, 0, 'in', 'decode', 447, 1)
(14.404119968414307, 0, 'out', 'decode', 448, 1)
(14.5108962059021, 3, 'in', 'decode', 1071, 1)
(14.5108962059021, 3, 'out', 'decode', 1072, 1)
(14.535128593444824, 5, 'in', 'decode', 416, 1)
(14.535128593444824, 5, 'out', 'decode', 417, 1)
(14.557923316955566, 4, 'in', 'decode', 1183, 1)
(14.557923316955566, 4, 'out', 'decode', 1184, 1)
(14.585971593856812, 2, 'in', 'decode', 1099, 1)
(14.585971593856812, 2, 'out', 'decode', 1100, 1)
(14.615837097167969, 0, 'in', 'decode', 448, 1)
(14.615837097167969, 0, 'out', 'decode', 449, 1)
(14.721016645431519, 3, 'in', 'decode', 1072, 1)
(14.721016645431519, 3, 'out', 'decode', 1073, 1)
(14.746402740478516, 5, 'in', 'decode', 417, 1)
(14.746402740478516, 5, 'out', 'decode', 418, 1)
(14.768084049224854, 4, 'in', 'decode', 1184, 1)
(14.768084049224854, 4, 'out', 'decode', 1185, 1)
(14.795286178588867, 2, 'in', 'decode', 1100, 1)
(14.795286178588867, 2, 'out', 'decode', 1101, 1)
(14.825098991394043, 0, 'in', 'decode', 449, 1)
(14.825098991394043, 0, 'out', 'decode', 450, 1)
(14.93053126335144, 3, 'in', 'decode', 1073, 1)
(14.93053126335144, 3, 'out', 'decode', 1074, 1)
(14.948356628417969, 6, 'out', 'prompt', 0, 375)
(14.956061840057373, 5, 'in', 'decode', 418, 1)
(14.956061840057373, 5, 'out', 'decode', 419, 1)
(14.980579137802124, 4, 'in', 'decode', 1185, 1)
(14.980579137802124, 4, 'out', 'decode', 1186, 1)
(15.00743293762207, 2, 'in', 'decode', 1101, 1)
(15.00743293762207, 2, 'out', 'decode', 1102, 1)
(15.037423849105835, 0, 'in', 'decode', 450, 1)
(15.037423849105835, 0, 'out', 'decode', 451, 1)
(15.139344215393066, 3, 'in', 'decode', 1074, 1)
(15.139344215393066, 3, 'out', 'decode', 1075, 1)
(15.233158826828003, 4, 'in', 'decode', 1186, 1)
(15.233158826828003, 4, 'out', 'decode', 1187, 1)
(15.259042978286743, 5, 'in', 'decode', 419, 1)
(15.259042978286743, 5, 'out', 'decode', 420, 1)
(15.295790672302246, 0, 'in', 'decode', 451, 1)
(15.295790672302246, 0, 'out', 'decode', 452, 1)
(15.295799732208252, 2, 'in', 'decode', 1102, 1)
(15.295799732208252, 2, 'out', 'decode', 1103, 1)
(15.296290874481201, 7, 'out', 'prompt', 0, 414)
(15.348142385482788, 3, 'in', 'decode', 1075, 1)
(15.348142385482788, 3, 'out', 'decode', 1076, 1)
(15.441020488739014, 4, 'in', 'decode', 1187, 1)
(15.441020488739014, 4, 'out', 'decode', 1188, 1)
(15.467427492141724, 5, 'in', 'decode', 420, 1)
(15.467427492141724, 5, 'out', 'decode', 421, 1)
(15.549686670303345, 0, 'in', 'decode', 452, 1)
(15.549686670303345, 0, 'out', 'decode', 453, 1)
(15.604952812194824, 3, 'in', 'decode', 1076, 1)
(15.604952812194824, 3, 'out', 'decode', 1077, 1)
(15.663223266601562, 6, 'in', 'prompt', 0, 375)
(15.663223266601562, 6, 'out', 'decode', 375, 1)
(15.664662837982178, 2, 'in', 'decode', 1103, 1)
(15.664662837982178, 2, 'out', 'decode', 1104, 1)
(15.694594621658325, 5, 'in', 'decode', 421, 1)
(15.694594621658325, 5, 'out', 'decode', 422, 1)
(15.70029592514038, 4, 'in', 'decode', 1188, 1)
(15.70029592514038, 4, 'out', 'decode', 1189, 1)
(15.754417657852173, 0, 'in', 'decode', 453, 1)
(15.754417657852173, 0, 'out', 'decode', 454, 1)
(15.813187837600708, 3, 'in', 'decode', 1077, 1)
(15.813187837600708, 3, 'out', 'decode', 1078, 1)
(15.892478466033936, 6, 'in', 'decode', 375, 1)
(15.892478466033936, 6, 'out', 'decode', 376, 1)
(15.902716875076294, 5, 'in', 'decode', 422, 1)
(15.902716875076294, 5, 'out', 'decode', 423, 1)
(15.930874109268188, 4, 'in', 'decode', 1189, 1)
(15.930874109268188, 4, 'out', 'decode', 1190, 1)
(15.958384275436401, 0, 'in', 'decode', 454, 1)
(15.958384275436401, 0, 'out', 'decode', 455, 1)
(16.027616262435913, 2, 'in', 'decode', 1104, 1)
(16.027616262435913, 2, 'out', 'decode', 1105, 1)
(16.0949285030365, 6, 'in', 'decode', 376, 1)
(16.0949285030365, 6, 'out', 'decode', 377, 1)
(16.106276035308838, 5, 'in', 'decode', 423, 1)
(16.106276035308838, 5, 'out', 'decode', 424, 1)
(16.137973308563232, 4, 'in', 'decode', 1190, 1)
(16.137973308563232, 4, 'out', 'decode', 1191, 1)
(16.145174503326416, 7, 'in', 'prompt', 0, 414)
(16.145174503326416, 7, 'out', 'decode', 414, 1)
(16.166309595108032, 0, 'in', 'decode', 455, 1)
(16.166309595108032, 0, 'out', 'decode', 456, 1)
(16.177072286605835, 3, 'in', 'decode', 1078, 1)
(16.177072286605835, 3, 'out', 'decode', 1079, 1)
(16.234360456466675, 2, 'in', 'decode', 1105, 1)
