(0.7767508029937744, 0, 'out', 'prompt', 0, 389)
(1.2148025035858154, 1, 'out', 'prompt', 0, 1069)
(1.2617151737213135, 2, 'out', 'prompt', 0, 1040)
(1.5338244438171387, 3, 'out', 'prompt', 0, 423)
(2.2738635540008545, 4, 'out', 'prompt', 0, 210)
(3.751519203186035, 5, 'out', 'prompt', 0, 375)
(3.8455140590667725, 6, 'out', 'prompt', 0, 420)
(4.855107069015503, 7, 'out', 'prompt', 0, 401)
(5.2674126625061035, 8, 'out', 'prompt', 0, 414)
(6.3021039962768555, 9, 'out', 'prompt', 0, 210)
(7.302515745162964, 10, 'out', 'prompt', 0, 1317)
(7.416428327560425, 11, 'out', 'prompt', 0, 1063)
(7.832661390304565, 12, 'out', 'prompt', 0, 1067)
(9.042125701904297, 13, 'out', 'prompt', 0, 396)
(9.999610185623169, 0, 'in', 'prompt', 0, 389)
(9.999610185623169, 0, 'out', 'decode', 389, 1)
(10.646098375320435, 14, 'out', 'prompt', 0, 204)
(11.24117374420166, 2, 'in', 'prompt', 0, 1040)
(11.24117374420166, 2, 'out', 'decode', 1040, 1)
(11.415083646774292, 15, 'out', 'prompt', 0, 1150)
(11.445101737976074, 4, 'in', 'prompt', 0, 210)
(11.445101737976074, 4, 'out', 'decode', 210, 1)
(11.445101737976074, 5, 'in', 'prompt', 0, 375)
(11.445101737976074, 5, 'out', 'decode', 375, 1)
(11.445199489593506, 6, 'in', 'prompt', 0, 420)
(11.445199489593506, 6, 'out', 'decode', 420, 1)
(11.777099370956421, 1, 'in', 'prompt', 0, 1069)
(11.777099370956421, 1, 'out', 'decode', 1069, 1)
(11.777143716812134, 13, 'in', 'prompt', 0, 396)
(11.777143716812134, 13, 'out', 'decode', 396, 1)
(11.777143716812134, 3, 'in', 'prompt', 0, 423)
(11.777143716812134, 3, 'out', 'decode', 423, 1)
(12.159744501113892, 11, 'in', 'prompt', 0, 1063)
(12.159744501113892, 11, 'out', 'decode', 1063, 1)
(12.159813404083252, 14, 'in', 'prompt', 0, 204)
(12.159813404083252, 14, 'out', 'decode', 204, 1)
(12.159813404083252, 7, 'in', 'prompt', 0, 401)
(12.159813404083252, 7, 'out', 'decode', 401, 1)
(12.159813404083252, 8, 'in', 'prompt', 0, 414)
(12.159813404083252, 8, 'out', 'decode', 414, 1)
(12.191348552703857, 2, 'in', 'decode', 1040, 1)
(12.191348552703857, 2, 'out', 'decode', 1041, 1)
(12.437107563018799, 10, 'in', 'prompt', 0, 1317)
(12.437107563018799, 10, 'out', 'decode', 1317, 1)
(12.573201656341553, 16, 'out', 'prompt', 0, 1042)
(12.659031867980957, 12, 'in', 'prompt', 0, 1067)
(12.659031867980957, 12, 'out', 'decode', 1067, 1)
(12.659078598022461, 9, 'in', 'prompt', 0, 210)
(12.659078598022461, 9, 'out', 'decode', 210, 1)
(12.68321943283081, 0, 'in', 'decode', 389, 1)
(12.68321943283081, 0, 'out', 'decode', 390, 1)
(12.715848207473755, 17, 'out', 'prompt', 0, 182)
(12.731733083724976, 18, 'out', 'prompt', 0, 1028)
(12.975613117218018, 19, 'out', 'prompt', 0, 1354)
(13.104901552200317, 13, 'in', 'decode', 396, 1)
(13.104901552200317, 13, 'out', 'decode', 397, 1)
(13.128667116165161, 11, 'in', 'decode', 1063, 1)
(13.128667116165161, 11, 'out', 'decode', 1064, 1)
(13.152613878250122, 14, 'in', 'decode', 204, 1)
(13.152613878250122, 14, 'out', 'decode', 205, 1)
(13.176663160324097, 2, 'in', 'decode', 1041, 1)
(13.176663160324097, 2, 'out', 'decode', 1042, 1)
(13.223082304000854, 4, 'in', 'decode', 210, 1)
(13.223082304000854, 4, 'out', 'decode', 211, 1)
(13.248717308044434, 6, 'in', 'decode', 420, 1)
(13.248717308044434, 6, 'out', 'decode', 421, 1)
(13.248746633529663, 8, 'in', 'decode', 414, 1)
(13.248746633529663, 8, 'out', 'decode', 415, 1)
(13.702532291412354, 20, 'out', 'prompt', 0, 408)
(14.611413955688477, 21, 'out', 'prompt', 0, 204)
(14.696237087249756, 17, 'in', 'prompt', 0, 182)
(14.696237087249756, 17, 'out', 'decode', 182, 1)
(14.722761154174805, 1, 'in', 'decode', 1069, 1)
(14.722761154174805, 1, 'out', 'decode', 1070, 1)
(14.72279977798462, 10, 'in', 'decode', 1317, 1)
(14.72279977798462, 10, 'out', 'decode', 1318, 1)
(14.72279977798462, 5, 'in', 'decode', 375, 1)
(14.72279977798462, 5, 'out', 'decode', 376, 1)
(15.327173948287964, 22, 'out', 'prompt', 0, 382)
(15.480428218841553, 16, 'in', 'prompt', 0, 1042)
(15.480428218841553, 16, 'out', 'decode', 1042, 1)
(15.506831884384155, 3, 'in', 'decode', 423, 1)
(15.506831884384155, 3, 'out', 'decode', 424, 1)
(15.506908893585205, 7, 'in', 'decode', 401, 1)
(15.506908893585205, 7, 'out', 'decode', 402, 1)
(15.796389818191528, 15, 'in', 'prompt', 0, 1150)
(15.796389818191528, 15, 'out', 'decode', 1150, 1)
(15.936111450195312, 20, 'in', 'prompt', 0, 408)
(15.936111450195312, 20, 'out', 'decode', 408, 1)
(15.963987112045288, 11, 'in', 'decode', 1064, 1)
(15.963987112045288, 11, 'out', 'decode', 1065, 1)
(15.964022874832153, 2, 'in', 'decode', 1042, 1)
(15.964022874832153, 2, 'out', 'decode', 1043, 1)
(15.964022874832153, 4, 'in', 'decode', 211, 1)
(15.964022874832153, 4, 'out', 'decode', 212, 1)
(15.964022874832153, 6, 'in', 'decode', 421, 1)
(15.964022874832153, 6, 'out', 'decode', 422, 1)
(15.964022874832153, 8, 'in', 'decode', 415, 1)
(15.964022874832153, 8, 'out', 'decode', 416, 1)
(16.38691520690918, 19, 'in', 'prompt', 0, 1354)
(16.38691520690918, 19, 'out', 'decode', 1354, 1)
(16.608430862426758, 18, 'in', 'prompt', 0, 1028)
(16.608430862426758, 18, 'out', 'decode', 1028, 1)
(16.608471155166626, 21, 'in', 'prompt', 0, 204)
(16.608471155166626, 21, 'out', 'decode', 204, 1)
(16.637839794158936, 0, 'in', 'decode', 390, 1)
(16.637839794158936, 0, 'out', 'decode', 391, 1)
(16.637873649597168, 1, 'in', 'decode', 1070, 1)
(16.637873649597168, 1, 'out', 'decode', 1071, 1)
(16.637873649597168, 10, 'in', 'decode', 1318, 1)
(16.637873649597168, 10, 'out', 'decode', 1319, 1)
(16.637873649597168, 11, 'in', 'decode', 1065, 1)
(16.637873649597168, 11, 'out', 'decode', 1066, 1)
(16.637873649597168, 12, 'in', 'decode', 1067, 1)
(16.637873649597168, 12, 'out', 'decode', 1068, 1)
(16.637873649597168, 13, 'in', 'decode', 397, 1)
(16.637873649597168, 13, 'out', 'decode', 398, 1)
(16.637873649597168, 14, 'in', 'decode', 205, 1)
(16.637873649597168, 14, 'out', 'decode', 206, 1)
(16.637873649597168, 15, 'in', 'decode', 1150, 1)
(16.637873649597168, 15, 'out', 'decode', 1151, 1)
(16.637873649597168, 16, 'in', 'decode', 1042, 1)
(16.637873649597168, 16, 'out', 'decode', 1043, 1)
(16.637873649597168, 17, 'in', 'decode', 182, 1)
(16.637873649597168, 17, 'out', 'decode', 183, 1)
(16.637873649597168, 3, 'in', 'decode', 424, 1)
(16.637873649597168, 3, 'out', 'decode', 425, 1)
(16.637873649597168, 5, 'in', 'decode', 376, 1)
(16.637873649597168, 5, 'out', 'decode', 377, 1)
(16.637873649597168, 7, 'in', 'decode', 402, 1)
(16.637873649597168, 7, 'out', 'decode', 403, 1)
(16.637873649597168, 9, 'in', 'decode', 210, 1)
(16.637873649597168, 9, 'out', 'decode', 211, 1)
(16.642322778701782, 23, 'out', 'prompt', 0, 396)
(16.653801918029785, 24, 'out', 'prompt', 0, 1147)
(16.715298891067505, 22, 'in', 'prompt', 0, 382)
(16.715298891067505, 22, 'out', 'decode', 382, 1)
(16.74197268486023, 2, 'in', 'decode', 1043, 1)
(16.74197268486023, 2, 'out', 'decode', 1044, 1)
(16.742003202438354, 20, 'in', 'decode', 408, 1)
(16.742003202438354, 20, 'out', 'decode', 409, 1)
(16.742003202438354, 4, 'in', 'decode', 212, 1)
(16.742003202438354, 4, 'out', 'decode', 213, 1)
(16.742003202438354, 6, 'in', 'decode', 422, 1)
(16.742003202438354, 6, 'out', 'decode', 423, 1)
(16.742003202438354, 8, 'in', 'decode', 416, 1)
(16.742003202438354, 8, 'out', 'decode', 417, 1)
(16.766366720199585, 19, 'in', 'decode', 1354, 1)
(16.766366720199585, 19, 'out', 'decode', 1355, 1)
(17.07022261619568, 18, 'in', 'decode', 1028, 1)
(17.07022261619568, 18, 'out', 'decode', 1029, 1)
(17.09408402442932, 11, 'in', 'decode', 1066, 1)
(17.09408402442932, 11, 'out', 'decode', 1067, 1)
(17.119645833969116, 13, 'in', 'decode', 398, 1)
(17.119645833969116, 13, 'out', 'decode', 399, 1)
(17.11968469619751, 25, 'out', 'prompt', 0, 795)
(17.143550157546997, 21, 'in', 'decode', 204, 1)
(17.143550157546997, 21, 'out', 'decode', 205, 1)
(17.169379711151123, 0, 'in', 'decode', 391, 1)
(17.169379711151123, 0, 'out', 'decode', 392, 1)
(17.193283796310425, 1, 'in', 'decode', 1071, 1)
(17.193283796310425, 1, 'out', 'decode', 1072, 1)
(17.2175931930542, 10, 'in', 'decode', 1319, 1)
(17.2175931930542, 10, 'out', 'decode', 1320, 1)
(17.24185013771057, 12, 'in', 'decode', 1068, 1)
(17.24185013771057, 12, 'out', 'decode', 1069, 1)
(17.443400621414185, 26, 'out', 'prompt', 0, 1118)
(18.46547245979309, 23, 'in', 'prompt', 0, 396)
(18.46547245979309, 23, 'out', 'decode', 396, 1)
(18.560189247131348, 27, 'out', 'prompt', 0, 121)
(18.568174123764038, 28, 'out', 'prompt', 0, 1148)
(18.870988845825195, 29, 'out', 'prompt', 0, 1190)
