(0.10000061988830566, 0, 'out', 'prompt', 0, 195)
(0.20000028610229492, 1, 'out', 'prompt', 0, 421)
(0.3000009059906006, 2, 'out', 'prompt', 0, 1137)
(0.39036011695861816, 0, 'in', 'prompt', 0, 195)
(0.39036011695861816, 0, 'out', 'decode', 195, 1)
(0.40000009536743164, 3, 'out', 'prompt', 0, 406)
(0.5000004768371582, 4, 'out', 'prompt', 0, 121)
(0.6000001430511475, 5, 'out', 'prompt', 0, 1061)
(0.6438233852386475, 1, 'in', 'prompt', 0, 421)
(0.6438233852386475, 1, 'out', 'decode', 421, 1)
(0.7000002861022949, 6, 'out', 'prompt', 0, 389)
(0.8000009059906006, 7, 'out', 'prompt', 0, 1069)
(0.9000003337860107, 8, 'out', 'prompt', 0, 1040)
(1.0000004768371582, 9, 'out', 'prompt', 0, 423)
(1.1000003814697266, 10, 'out', 'prompt', 0, 210)
(1.1482207775115967, 2, 'in', 'prompt', 0, 1137)
(1.1482207775115967, 2, 'out', 'decode', 1137, 1)
(1.200000286102295, 11, 'out', 'prompt', 0, 1345)
(1.2525923252105713, 3, 'in', 'prompt', 0, 406)
(1.2525923252105713, 3, 'out', 'decode', 406, 1)
(1.252622365951538, 4, 'in', 'prompt', 0, 121)
(1.252622365951538, 4, 'out', 'decode', 121, 1)
(1.2918891906738281, 0, 'in', 'decode', 195, 1)
(1.2918891906738281, 0, 'out', 'decode', 196, 1)
(1.3000004291534424, 12, 'out', 'prompt', 0, 394)
(1.400000810623169, 13, 'out', 'prompt', 0, 1051)
(1.4679765701293945, 5, 'in', 'prompt', 0, 1061)
(1.4679765701293945, 5, 'out', 'decode', 1061, 1)
(1.500000238418579, 14, 'out', 'prompt', 0, 1170)
(1.5546553134918213, 6, 'in', 'prompt', 0, 389)
(1.5546553134918213, 6, 'out', 'decode', 389, 1)
(1.5894551277160645, 1, 'in', 'decode', 421, 1)
(1.5894551277160645, 1, 'out', 'decode', 422, 1)
(1.6000006198883057, 15, 'out', 'prompt', 0, 402)
(1.700000524520874, 16, 'out', 'prompt', 0, 375)
