(0.10000061988830566, 0, 'out', 'prompt', 0, 195)
(0.20000004768371582, 1, 'out', 'prompt', 0, 421)
(0.3000006675720215, 2, 'out', 'prompt', 0, 1137)
(0.40000057220458984, 3, 'out', 'prompt', 0, 406)
(0.5, 4, 'out', 'prompt', 0, 121)
(0.6000001430511475, 5, 'out', 'prompt', 0, 1061)
(0.7000002861022949, 6, 'out', 'prompt', 0, 389)
(0.8000009059906006, 7, 'out', 'prompt', 0, 1069)
(0.9000005722045898, 8, 'out', 'prompt', 0, 1040)
(0.9208598136901855, 0, 'in', 'prompt', 0, 195)
(0.9208598136901855, 0, 'out', 'decode', 195, 1)
(1.000000238418579, 9, 'out', 'prompt', 0, 423)
(1.1000006198883057, 10, 'out', 'prompt', 0, 210)
(1.2000000476837158, 11, 'out', 'prompt', 0, 1345)
(1.3000001907348633, 12, 'out', 'prompt', 0, 394)
(1.4000000953674316, 13, 'out', 'prompt', 0, 1051)
(1.4168519973754883, 1, 'in', 'prompt', 0, 421)
(1.4168519973754883, 1, 'out', 'decode', 421, 1)
(1.5000007152557373, 14, 'out', 'prompt', 0, 1170)
(1.6000008583068848, 15, 'out', 'prompt', 0, 402)
(1.700000524520874, 16, 'out', 'prompt', 0, 375)
(1.8000001907348633, 17, 'out', 'prompt', 0, 420)
(1.9000000953674316, 18, 'out', 'prompt', 0, 401)
(2.000000476837158, 19, 'out', 'prompt', 0, 414)
(2.1000001430511475, 20, 'out', 'prompt', 0, 238)
(2.200000524520874, 21, 'out', 'prompt', 0, 1225)
(2.3000006675720215, 22, 'out', 'prompt', 0, 182)
(2.40000057220459, 23, 'out', 'prompt', 0, 1104)
(2.500000238418579, 24, 'out', 'prompt', 0, 213)
(2.6000001430511475, 25, 'out', 'prompt', 0, 406)
(2.700000286102295, 26, 'out', 'prompt', 0, 210)
(2.8000001907348633, 27, 'out', 'prompt', 0, 1317)
(2.9000003337860107, 28, 'out', 'prompt', 0, 1063)
(3.000000238418579, 29, 'out', 'prompt', 0, 1067)
(3.1000006198883057, 30, 'out', 'prompt', 0, 1485)
(3.142915725708008, 2, 'in', 'prompt', 0, 1137)
(3.142915725708008, 2, 'out', 'decode', 1137, 1)
(3.200000286102295, 31, 'out', 'prompt', 0, 410)
(3.3000004291534424, 32, 'out', 'prompt', 0, 1093)
(3.330085277557373, 3, 'in', 'prompt', 0, 406)
(3.330085277557373, 3, 'out', 'decode', 406, 1)
(3.3301002979278564, 4, 'in', 'prompt', 0, 121)
(3.3301002979278564, 4, 'out', 'decode', 121, 1)
(3.4000003337860107, 33, 'out', 'prompt', 0, 396)
(3.500000238418579, 34, 'out', 'prompt', 0, 204)
(3.6000006198883057, 35, 'out', 'prompt', 0, 1150)
(3.700000524520874, 36, 'out', 'prompt', 0, 222)
(3.7727620601654053, 5, 'in', 'prompt', 0, 1061)
(3.7727620601654053, 5, 'out', 'decode', 1061, 1)
(3.8000001907348633, 37, 'out', 'prompt', 0, 379)
(3.9000003337860107, 38, 'out', 'prompt', 0, 204)
(3.9647836685180664, 10, 'in', 'prompt', 0, 210)
(3.9647836685180664, 10, 'out', 'decode', 210, 1)
(3.9647955894470215, 6, 'in', 'prompt', 0, 389)
(3.9647955894470215, 6, 'out', 'decode', 389, 1)
(4.0, 39, 'out', 'prompt', 0, 1097)
(5.538630723953247, 7, 'in', 'prompt', 0, 1069)
(5.538630723953247, 7, 'out', 'decode', 1069, 1)
(5.98600172996521, 8, 'in', 'prompt', 0, 1040)
(5.98600172996521, 8, 'out', 'decode', 1040, 1)
(6.138004302978516, 9, 'in', 'prompt', 0, 423)
(6.138004302978516, 9, 'out', 'decode', 423, 1)
(6.214252948760986, 0, 'in', 'decode', 195, 1)
(6.214252948760986, 0, 'out', 'decode', 196, 1)
(6.948070764541626, 11, 'in', 'prompt', 0, 1345)
(6.948070764541626, 11, 'out', 'decode', 1345, 1)
(7.098613500595093, 12, 'in', 'prompt', 0, 394)
(7.098613500595093, 12, 'out', 'decode', 394, 1)
(7.421090126037598, 13, 'in', 'prompt', 0, 1051)
(7.421090126037598, 13, 'out', 'decode', 1051, 1)
(7.777129650115967, 14, 'in', 'prompt', 0, 1170)
(7.777129650115967, 14, 'out', 'decode', 1170, 1)
(8.03439974784851, 15, 'in', 'prompt', 0, 402)
(8.03439974784851, 15, 'out', 'decode', 402, 1)
(8.034413576126099, 16, 'in', 'prompt', 0, 375)
(8.034413576126099, 16, 'out', 'decode', 375, 1)
(8.107317447662354, 1, 'in', 'decode', 421, 1)
(8.107317447662354, 1, 'out', 'decode', 422, 1)
(8.257120132446289, 17, 'in', 'prompt', 0, 420)
(8.257120132446289, 17, 'out', 'decode', 420, 1)
(8.960327863693237, 18, 'in', 'prompt', 0, 401)
(8.960327863693237, 18, 'out', 'decode', 401, 1)
(9.56802225112915, 19, 'in', 'prompt', 0, 414)
(9.56802225112915, 19, 'out', 'decode', 414, 1)
(9.997545003890991, 20, 'in', 'prompt', 0, 238)
(9.997545003890991, 20, 'out', 'decode', 238, 1)
(10.39217209815979, 21, 'in', 'prompt', 0, 1225)
(10.39217209815979, 21, 'out', 'decode', 1225, 1)
(10.392190217971802, 22, 'in', 'prompt', 0, 182)
(10.392190217971802, 22, 'out', 'decode', 182, 1)
(10.468412399291992, 2, 'in', 'decode', 1137, 1)
(10.468412399291992, 2, 'out', 'decode', 1138, 1)
(10.468422889709473, 3, 'in', 'decode', 406, 1)
(10.468422889709473, 3, 'out', 'decode', 407, 1)
(10.468438148498535, 4, 'in', 'decode', 121, 1)
(10.468438148498535, 4, 'out', 'decode', 122, 1)
(10.889218091964722, 23, 'in', 'prompt', 0, 1104)
(10.889218091964722, 23, 'out', 'decode', 1104, 1)
(11.148545503616333, 24, 'in', 'prompt', 0, 213)
(11.148545503616333, 24, 'out', 'decode', 213, 1)
(11.148545503616333, 25, 'in', 'prompt', 0, 406)
(11.148545503616333, 25, 'out', 'decode', 406, 1)
