(0.10000014305114746, 0, 'out', 'prompt', 0, 195)
(0.20000052452087402, 1, 'out', 'prompt', 0, 421)
(0.3000004291534424, 2, 'out', 'prompt', 0, 1137)
(8.135883092880249, 0, 'in', 'prompt', 0, 195)
(8.135883092880249, 0, 'out', 'decode', 195, 1)
(8.887595891952515, 1, 'in', 'prompt', 0, 421)
(8.887595891952515, 1, 'out', 'decode', 421, 1)
(12.067406177520752, 2, 'in', 'prompt', 0, 1137)
(12.067406177520752, 2, 'out', 'decode', 1137, 1)
(12.138687133789062, 0, 'in', 'decode', 195, 1)
(12.138687133789062, 0, 'out', 'decode', 196, 1)
(12.138701438903809, 1, 'in', 'decode', 421, 1)
(12.138701438903809, 1, 'out', 'decode', 422, 1)
(12.730183601379395, 2, 'in', 'decode', 1137, 1)
(12.730183601379395, 2, 'out', 'decode', 1138, 1)
(12.782437801361084, 0, 'in', 'decode', 196, 1)
(12.782437801361084, 0, 'out', 'decode', 197, 1)
(12.834872245788574, 1, 'in', 'decode', 422, 1)
(12.834872245788574, 1, 'out', 'decode', 423, 1)
(13.313168048858643, 2, 'in', 'decode', 1138, 1)
(13.313168048858643, 2, 'out', 'decode', 1139, 1)
(13.365453720092773, 0, 'in', 'decode', 197, 1)
(13.365453720092773, 0, 'out', 'decode', 198, 1)
(13.417967796325684, 1, 'in', 'decode', 423, 1)
(13.417967796325684, 1, 'out', 'decode', 424, 1)
(13.892322778701782, 2, 'in', 'decode', 1139, 1)
(13.892322778701782, 2, 'out', 'decode', 1140, 1)
(13.94416069984436, 0, 'in', 'decode', 198, 1)
(13.94416069984436, 0, 'out', 'decode', 199, 1)
(13.996093034744263, 1, 'in', 'decode', 424, 1)
(13.996093034744263, 1, 'out', 'decode', 425, 1)
(14.471487998962402, 2, 'in', 'decode', 1140, 1)
(14.471487998962402, 2, 'out', 'decode', 1141, 1)
(14.523235082626343, 0, 'in', 'decode', 199, 1)
(14.523235082626343, 0, 'out', 'decode', 200, 1)
(14.575212001800537, 1, 'in', 'decode', 425, 1)
(14.575212001800537, 1, 'out', 'decode', 426, 1)
(15.048415660858154, 2, 'in', 'decode', 1141, 1)
(15.048415660858154, 2, 'out', 'decode', 1142, 1)
(15.100055456161499, 0, 'in', 'decode', 200, 1)
(15.100055456161499, 0, 'out', 'decode', 201, 1)
(15.152044773101807, 1, 'in', 'decode', 426, 1)
(15.152044773101807, 1, 'out', 'decode', 427, 1)
(15.623210906982422, 2, 'in', 'decode', 1142, 1)
(15.623210906982422, 2, 'out', 'decode', 1143, 1)
(15.675633668899536, 0, 'in', 'decode', 201, 1)
(15.675633668899536, 0, 'out', 'decode', 202, 1)
(15.727928400039673, 1, 'in', 'decode', 427, 1)
(15.727928400039673, 1, 'out', 'decode', 428, 1)
(16.19521951675415, 2, 'in', 'decode', 1143, 1)
(16.19521951675415, 2, 'out', 'decode', 1144, 1)
(16.24700617790222, 0, 'in', 'decode', 202, 1)
(16.24700617790222, 0, 'out', 'decode', 203, 1)
(16.299090147018433, 1, 'in', 'decode', 428, 1)
(16.299090147018433, 1, 'out', 'decode', 429, 1)
(16.769678831100464, 2, 'in', 'decode', 1144, 1)
(16.769678831100464, 2, 'out', 'decode', 1145, 1)
(16.82144021987915, 0, 'in', 'decode', 203, 1)
(16.82144021987915, 0, 'out', 'decode', 204, 1)
(16.87345814704895, 1, 'in', 'decode', 429, 1)
(16.87345814704895, 1, 'out', 'decode', 430, 1)
(17.34139060974121, 2, 'in', 'decode', 1145, 1)
(17.34139060974121, 2, 'out', 'decode', 1146, 1)
(17.393133401870728, 0, 'in', 'decode', 204, 1)
(17.393133401870728, 0, 'out', 'decode', 205, 1)
(17.44511866569519, 1, 'in', 'decode', 430, 1)
(17.44511866569519, 1, 'out', 'decode', 431, 1)
(17.91343069076538, 2, 'in', 'decode', 1146, 1)
(17.91343069076538, 2, 'out', 'decode', 1147, 1)
(17.965168952941895, 0, 'in', 'decode', 205, 1)
(17.965168952941895, 0, 'out', 'decode', 206, 1)
(18.017213344573975, 1, 'in', 'decode', 431, 1)
(18.017213344573975, 1, 'out', 'decode', 432, 1)
(18.485517501831055, 2, 'in', 'decode', 1147, 1)
(18.485517501831055, 2, 'out', 'decode', 1148, 1)
