(2.2738635540008545, 0, 'out', 'prompt', 0, 421)
(2.7424399852752686, 0, 'in', 'prompt', 0, 421)
(2.7424399852752686, 0, 'out', 'decode', 421, 1)
(2.9138007164001465, 0, 'in', 'decode', 421, 1)
(2.9138007164001465, 0, 'out', 'decode', 422, 1)
(3.0533885955810547, 0, 'in', 'decode', 422, 1)
(3.0533885955810547, 0, 'out', 'decode', 423, 1)
(3.1928679943084717, 0, 'in', 'decode', 423, 1)
(3.1928679943084717, 0, 'out', 'decode', 424, 1)
(3.3325037956237793, 0, 'in', 'decode', 424, 1)
(3.3325037956237793, 0, 'out', 'decode', 425, 1)
(3.473386287689209, 0, 'in', 'decode', 425, 1)
(3.473386287689209, 0, 'out', 'decode', 426, 1)
(3.6128509044647217, 0, 'in', 'decode', 426, 1)
(3.6128509044647217, 0, 'out', 'decode', 427, 1)
(3.752256393432617, 0, 'in', 'decode', 427, 1)
(3.752256393432617, 0, 'out', 'decode', 428, 1)
(3.8916592597961426, 0, 'in', 'decode', 428, 1)
(3.8916592597961426, 0, 'out', 'decode', 429, 1)
(4.0308380126953125, 0, 'in', 'decode', 429, 1)
(4.0308380126953125, 0, 'out', 'decode', 430, 1)
(4.170738220214844, 0, 'in', 'decode', 430, 1)
(4.170738220214844, 0, 'out', 'decode', 431, 1)
(4.309959888458252, 0, 'in', 'decode', 431, 1)
(4.309959888458252, 0, 'out', 'decode', 432, 1)
(4.44946026802063, 0, 'in', 'decode', 432, 1)
(4.44946026802063, 0, 'out', 'decode', 433, 1)
(4.5890116691589355, 0, 'in', 'decode', 433, 1)
(4.5890116691589355, 0, 'out', 'decode', 434, 1)
(4.730146169662476, 0, 'in', 'decode', 434, 1)
(4.730146169662476, 0, 'out', 'decode', 435, 1)
(4.8705151081085205, 0, 'in', 'decode', 435, 1)
(4.8705151081085205, 0, 'out', 'decode', 436, 1)
(5.010898590087891, 0, 'in', 'decode', 436, 1)
(5.010898590087891, 0, 'out', 'decode', 437, 1)
(5.151623964309692, 0, 'in', 'decode', 437, 1)
(5.151623964309692, 0, 'out', 'decode', 438, 1)
(5.292438983917236, 0, 'in', 'decode', 438, 1)
(5.292438983917236, 0, 'out', 'decode', 439, 1)
(5.4331841468811035, 0, 'in', 'decode', 439, 1)
(5.4331841468811035, 0, 'out', 'decode', 440, 1)
(5.573742151260376, 0, 'in', 'decode', 440, 1)
(5.573742151260376, 0, 'out', 'decode', 441, 1)
(5.7147393226623535, 0, 'in', 'decode', 441, 1)
(5.7147393226623535, 0, 'out', 'decode', 442, 1)
(5.855503082275391, 0, 'in', 'decode', 442, 1)
