(0, 420, 124, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(1, 120, 12, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(2, 388, 84, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(3, 422, 144, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(4, 1050, 397, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(5, 401, 109, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(6, 413, 106, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(7, 181, 120, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(8, 209, 217, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(9, 1066, 415, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(10, 1092, 389, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(11, 203, 138, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(12, 203, 217, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(13, 1077, 483, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(14, 1041, 400, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(15, 1353, 156, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(16, 1089, 525, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(17, 1245, 384, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(18, 381, 76, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(19, 1117, 427, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(20, 476, 112, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(21, 976, 40, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(22, 1189, 74, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(23, 1082, 385, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(24, 1316, 159, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(25, 381, 73, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(26, 1015, 409, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(27, 333, 18, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(28, 200, 130, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(29, 375, 70, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(30, 17, 81, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(31, 424, 114, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(32, 379, 78, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(33, 1999, 97, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(34, 1101, 391, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(35, 1189, 74, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(36, 1065, 411, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(37, 1119, 413, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(38, 374, 76, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(39, 1092, 720, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(40, 1126, 397, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(41, 1316, 207, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(42, 433, 87, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(43, 1073, 411, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(44, 383, 57, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(45, 428, 101, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(46, 171, 217, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(47, 1036, 395, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(48, 945, 388, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(49, 389, 92, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(50, 1022, 443, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(51, 395, 97, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(52, 1043, 396, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(53, 203, 217, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(54, 1028, 411, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(55, 1127, 63, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(56, 1000, 414, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
