(0.10000014305114746, 0, 'out', 'prompt', 0, 195)
(0.20000052452087402, 1, 'out', 'prompt', 0, 421)
(0.3000001907348633, 2, 'out', 'prompt', 0, 1137)
(0.40000057220458984, 3, 'out', 'prompt', 0, 406)
(0.5, 4, 'out', 'prompt', 0, 121)
(0.6000001430511475, 5, 'out', 'prompt', 0, 1061)
(0.700000524520874, 6, 'out', 'prompt', 0, 389)
(0.8000006675720215, 7, 'out', 'prompt', 0, 1069)
(0.900000810623169, 8, 'out', 'prompt', 0, 1040)
(1.0000007152557373, 9, 'out', 'prompt', 0, 423)
(1.1000001430511475, 10, 'out', 'prompt', 0, 210)
(1.200000524520874, 11, 'out', 'prompt', 0, 1345)
(1.3000004291534424, 12, 'out', 'prompt', 0, 394)
(1.4000000953674316, 13, 'out', 'prompt', 0, 1051)
(1.5000004768371582, 14, 'out', 'prompt', 0, 1170)
(1.6000006198883057, 15, 'out', 'prompt', 0, 402)
(1.7000000476837158, 16, 'out', 'prompt', 0, 375)
(1.8000001907348633, 17, 'out', 'prompt', 0, 420)
(1.9000003337860107, 18, 'out', 'prompt', 0, 401)
(2.0, 19, 'out', 'prompt', 0, 414)
(2.1000006198883057, 20, 'out', 'prompt', 0, 238)
(2.200000524520874, 21, 'out', 'prompt', 0, 1225)
(2.3000001907348633, 22, 'out', 'prompt', 0, 182)
(2.4000003337860107, 23, 'out', 'prompt', 0, 1104)
(2.5000009536743164, 24, 'out', 'prompt', 0, 213)
(2.6000003814697266, 25, 'out', 'prompt', 0, 406)
(2.700000286102295, 26, 'out', 'prompt', 0, 210)
(2.8000006675720215, 27, 'out', 'prompt', 0, 1317)
(2.9000000953674316, 28, 'out', 'prompt', 0, 1063)
(3.000000476837158, 29, 'out', 'prompt', 0, 1067)
(3.1000003814697266, 30, 'out', 'prompt', 0, 1485)
(3.200000524520874, 31, 'out', 'prompt', 0, 410)
(3.3000001907348633, 32, 'out', 'prompt', 0, 1093)
(3.4000000953674316, 33, 'out', 'prompt', 0, 396)
(3.5000007152557373, 34, 'out', 'prompt', 0, 204)
(3.6000003814697266, 35, 'out', 'prompt', 0, 1150)
(3.700000762939453, 36, 'out', 'prompt', 0, 222)
(3.8000006675720215, 37, 'out', 'prompt', 0, 379)
(3.9000003337860107, 38, 'out', 'prompt', 0, 204)
(4.0, 39, 'out', 'prompt', 0, 1097)
(4.100000619888306, 40, 'out', 'prompt', 0, 441)
(4.200000047683716, 41, 'out', 'prompt', 0, 1078)
(4.3000006675720215, 42, 'out', 'prompt', 0, 168)
(4.40000057220459, 43, 'out', 'prompt', 0, 1042)
(4.500000476837158, 44, 'out', 'prompt', 0, 182)
(4.5937464237213135, 4, 'in', 'prompt', 0, 121)
(4.5937464237213135, 4, 'out', 'decode', 121, 1)
(4.6000001430511475, 45, 'out', 'prompt', 0, 1028)
(4.700000524520874, 46, 'out', 'prompt', 0, 1354)
(4.8000006675720215, 47, 'out', 'prompt', 0, 408)
(4.90000057220459, 48, 'out', 'prompt', 0, 204)
(5.000000715255737, 49, 'out', 'prompt', 0, 1090)
(5.100000619888306, 50, 'out', 'prompt', 0, 110)
(5.200000524520874, 51, 'out', 'prompt', 0, 1317)
(5.300000190734863, 52, 'out', 'prompt', 0, 409)
(5.400000333786011, 53, 'out', 'prompt', 0, 1246)
(5.500000715255737, 54, 'out', 'prompt', 0, 398)
(5.600000381469727, 55, 'out', 'prompt', 0, 382)
(5.700000286102295, 56, 'out', 'prompt', 0, 396)
(5.800000190734863, 57, 'out', 'prompt', 0, 1147)
(5.900000095367432, 58, 'out', 'prompt', 0, 795)
(6.000000476837158, 59, 'out', 'prompt', 0, 1118)
(6.1000001430511475, 60, 'out', 'prompt', 0, 1065)
(6.200000047683716, 61, 'out', 'prompt', 0, 432)
(6.3000006675720215, 62, 'out', 'prompt', 0, 477)
(6.40000057220459, 63, 'out', 'prompt', 0, 394)
(6.500000953674316, 64, 'out', 'prompt', 0, 393)
(6.6000001430511475, 65, 'out', 'prompt', 0, 977)
(6.700000047683716, 66, 'out', 'prompt', 0, 1196)
(6.800000190734863, 67, 'out', 'prompt', 0, 1072)
(6.900000333786011, 68, 'out', 'prompt', 0, 121)
(7.000002861022949, 69, 'out', 'prompt', 0, 1148)
(7.1000001430511475, 70, 'out', 'prompt', 0, 1190)
(7.200002908706665, 71, 'out', 'prompt', 0, 213)
(7.290448427200317, 14, 'in', 'prompt', 0, 1170)
(7.290448427200317, 14, 'out', 'decode', 1170, 1)
(7.300000190734863, 72, 'out', 'prompt', 0, 195)
(7.396380424499512, 10, 'in', 'prompt', 0, 210)
(7.396380424499512, 10, 'out', 'decode', 210, 1)
(7.396393299102783, 22, 'in', 'prompt', 0, 182)
(7.396393299102783, 22, 'out', 'decode', 182, 1)
(7.400000333786011, 73, 'out', 'prompt', 0, 1083)
(7.4385316371917725, 4, 'in', 'decode', 121, 1)
(7.4385316371917725, 4, 'out', 'decode', 122, 1)
(7.500000476837158, 74, 'out', 'prompt', 0, 416)
(7.6000001430511475, 75, 'out', 'prompt', 0, 406)
(7.697734594345093, 18, 'in', 'prompt', 0, 401)
(7.697734594345093, 18, 'out', 'decode', 401, 1)
(7.700002670288086, 76, 'out', 'prompt', 0, 1317)
(7.800000190734863, 77, 'out', 'prompt', 0, 403)
(7.900000095367432, 78, 'out', 'prompt', 0, 382)
(8.000000476837158, 79, 'out', 'prompt', 0, 201)
(8.057772874832153, 0, 'in', 'prompt', 0, 195)
(8.057772874832153, 0, 'out', 'decode', 195, 1)
(8.100000381469727, 80, 'out', 'prompt', 0, 395)
(8.200000286102295, 81, 'out', 'prompt', 0, 406)
(8.300000190734863, 82, 'out', 'prompt', 0, 1016)
(8.40000057220459, 83, 'out', 'prompt', 0, 998)
(8.500000715255737, 84, 'out', 'prompt', 0, 382)
(8.5657479763031, 16, 'in', 'prompt', 0, 375)
(8.5657479763031, 16, 'out', 'decode', 375, 1)
(8.600000143051147, 85, 'out', 'prompt', 0, 401)
(8.700000286102295, 86, 'out', 'prompt', 0, 334)
(8.800000429153442, 87, 'out', 'prompt', 0, 1211)
(8.869909048080444, 20, 'in', 'prompt', 0, 238)
(8.869909048080444, 20, 'out', 'decode', 238, 1)
(8.90000057220459, 88, 'out', 'prompt', 0, 201)
(9.0, 89, 'out', 'prompt', 0, 376)
(9.100000143051147, 90, 'out', 'prompt', 0, 375)
