(0.10000038146972656, 0, 'out', 'prompt', 0, 195)
(0.20000052452087402, 1, 'out', 'prompt', 0, 421)
(0.3000001907348633, 2, 'out', 'prompt', 0, 1137)
(0.40000081062316895, 3, 'out', 'prompt', 0, 406)
(0.5, 4, 'out', 'prompt', 0, 121)
(0.6000006198883057, 5, 'out', 'prompt', 0, 1061)
(0.7000000476837158, 6, 'out', 'prompt', 0, 389)
(0.8000001907348633, 7, 'out', 'prompt', 0, 1069)
(0.9000005722045898, 8, 'out', 'prompt', 0, 1040)
(1.000000238418579, 9, 'out', 'prompt', 0, 423)
(1.1000001430511475, 10, 'out', 'prompt', 0, 210)
(1.2000000476837158, 11, 'out', 'prompt', 0, 1345)
(1.3000004291534424, 12, 'out', 'prompt', 0, 394)
(1.4000000953674316, 13, 'out', 'prompt', 0, 1051)
(1.5000007152557373, 14, 'out', 'prompt', 0, 1170)
(1.6000003814697266, 15, 'out', 'prompt', 0, 402)
(1.700000286102295, 16, 'out', 'prompt', 0, 375)
(1.8000001907348633, 17, 'out', 'prompt', 0, 420)
(1.9000000953674316, 18, 'out', 'prompt', 0, 401)
(2.000000238418579, 19, 'out', 'prompt', 0, 414)
(6.334930181503296, 0, 'in', 'prompt', 0, 195)
(6.334930181503296, 20, 'out', 'prompt', 0, 238)
(6.334930181503296, 0, 'out', 'decode', 195, 1)
(6.464209318161011, 1, 'in', 'prompt', 0, 421)
(6.464209318161011, 21, 'out', 'prompt', 0, 1225)
(6.464209318161011, 1, 'out', 'decode', 421, 1)
(6.581287384033203, 3, 'in', 'prompt', 0, 406)
(6.581287384033203, 22, 'out', 'prompt', 0, 182)
(6.581287384033203, 3, 'out', 'decode', 406, 1)
(6.657982349395752, 10, 'in', 'prompt', 0, 210)
(6.657982349395752, 23, 'out', 'prompt', 0, 1104)
(6.657982349395752, 10, 'out', 'decode', 210, 1)
(6.658304691314697, 4, 'in', 'prompt', 0, 121)
(6.658304691314697, 24, 'out', 'prompt', 0, 213)
(6.658304691314697, 4, 'out', 'decode', 121, 1)
(6.778846740722656, 6, 'in', 'prompt', 0, 389)
(6.778846740722656, 25, 'out', 'prompt', 0, 406)
(6.778846740722656, 6, 'out', 'decode', 389, 1)
(8.098623752593994, 12, 'in', 'prompt', 0, 394)
(8.098623752593994, 26, 'out', 'prompt', 0, 210)
(8.098623752593994, 12, 'out', 'decode', 394, 1)
(8.522356271743774, 7, 'in', 'prompt', 0, 1069)
(8.522356271743774, 27, 'out', 'prompt', 0, 1317)
(8.522356271743774, 7, 'out', 'decode', 1069, 1)
(8.610328197479248, 15, 'in', 'prompt', 0, 402)
(8.610328197479248, 28, 'out', 'prompt', 0, 1063)
(8.610328197479248, 15, 'out', 'decode', 402, 1)
(8.904900312423706, 13, 'in', 'prompt', 0, 1051)
(8.904900312423706, 29, 'out', 'prompt', 0, 1067)
(8.904900312423706, 13, 'out', 'decode', 1051, 1)
(9.063340425491333, 17, 'in', 'prompt', 0, 420)
(9.063340425491333, 30, 'out', 'prompt', 0, 1485)
(9.063340425491333, 17, 'out', 'decode', 420, 1)
(9.063771486282349, 19, 'in', 'prompt', 0, 414)
(9.063771486282349, 31, 'out', 'prompt', 0, 410)
(9.063771486282349, 19, 'out', 'decode', 414, 1)
(9.29659914970398, 2, 'in', 'prompt', 0, 1137)
(9.29659914970398, 32, 'out', 'prompt', 0, 1093)
(9.29659914970398, 2, 'out', 'decode', 1137, 1)
(9.526050090789795, 5, 'in', 'prompt', 0, 1061)
(9.526050090789795, 33, 'out', 'prompt', 0, 396)
(9.526050090789795, 5, 'out', 'decode', 1061, 1)
(9.606204986572266, 16, 'in', 'prompt', 0, 375)
(9.606204986572266, 34, 'out', 'prompt', 0, 204)
(9.606204986572266, 16, 'out', 'decode', 375, 1)
(9.85506796836853, 11, 'in', 'prompt', 0, 1345)
(9.85506796836853, 35, 'out', 'prompt', 0, 1150)
(9.85506796836853, 11, 'out', 'decode', 1345, 1)
(10.073744058609009, 18, 'in', 'prompt', 0, 401)
(10.073744058609009, 36, 'out', 'prompt', 0, 222)
(10.073744058609009, 18, 'out', 'decode', 401, 1)
(10.074135780334473, 20, 'in', 'prompt', 0, 238)
(10.074135780334473, 37, 'out', 'prompt', 0, 379)
(10.074135780334473, 20, 'out', 'decode', 238, 1)
(10.074135780334473, 22, 'in', 'prompt', 0, 182)
(10.074135780334473, 38, 'out', 'prompt', 0, 204)
(10.074135780334473, 22, 'out', 'decode', 182, 1)
(10.074135780334473, 9, 'in', 'prompt', 0, 423)
(10.074135780334473, 39, 'out', 'prompt', 0, 1097)
(10.074135780334473, 9, 'out', 'decode', 423, 1)
(10.102934122085571, 0, 'in', 'decode', 195, 1)
(10.102934122085571, 0, 'out', 'decode', 196, 1)
(10.10299825668335, 1, 'in', 'decode', 421, 1)
(10.10299825668335, 1, 'out', 'decode', 422, 1)
(10.411792278289795, 8, 'in', 'prompt', 0, 1040)
(10.411792278289795, 40, 'out', 'prompt', 0, 441)
(10.411792278289795, 8, 'out', 'decode', 1040, 1)
(10.779515027999878, 14, 'in', 'prompt', 0, 1170)
(10.779515027999878, 41, 'out', 'prompt', 0, 1078)
(10.779515027999878, 14, 'out', 'decode', 1170, 1)
(10.804195642471313, 10, 'in', 'decode', 210, 1)
(10.804195642471313, 10, 'out', 'decode', 211, 1)
(10.830545902252197, 12, 'in', 'decode', 394, 1)
(10.830545902252197, 12, 'out', 'decode', 395, 1)
(10.830592393875122, 4, 'in', 'decode', 121, 1)
(10.830592393875122, 4, 'out', 'decode', 122, 1)
(10.854899406433105, 6, 'in', 'decode', 389, 1)
(10.854899406433105, 6, 'out', 'decode', 390, 1)
(11.405544757843018, 23, 'in', 'prompt', 0, 1104)
(11.405544757843018, 42, 'out', 'prompt', 0, 168)
(11.405544757843018, 23, 'out', 'decode', 1104, 1)
(11.429846048355103, 3, 'in', 'decode', 406, 1)
(11.429846048355103, 3, 'out', 'decode', 407, 1)
(12.310734987258911, 24, 'in', 'prompt', 0, 213)
(12.310734987258911, 43, 'out', 'prompt', 0, 1042)
(12.310734987258911, 24, 'out', 'decode', 213, 1)
(12.486554145812988, 25, 'in', 'prompt', 0, 406)
(12.486554145812988, 44, 'out', 'prompt', 0, 182)
(12.486554145812988, 25, 'out', 'decode', 406, 1)
(12.546992063522339, 26, 'in', 'prompt', 0, 210)
(12.546992063522339, 45, 'out', 'prompt', 0, 1028)
