(2.2738637924194336, 0, 'out', 'prompt', 0, 421)
(3.776750326156616, 1, 'out', 'prompt', 0, 121)
(4.467866897583008, 1, 'in', 'prompt', 0, 121)
(4.467866897583008, 1, 'out', 'decode', 121, 1)
(5.118227243423462, 1, 'in', 'decode', 121, 1)
(5.118227243423462, 1, 'out', 'decode', 122, 1)
(5.499877691268921, 1, 'in', 'decode', 122, 1)
(5.499877691268921, 1, 'out', 'decode', 123, 1)
(5.881434679031372, 1, 'in', 'decode', 123, 1)
(5.881434679031372, 1, 'out', 'decode', 124, 1)
(6.140641212463379, 0, 'in', 'prompt', 0, 421)
(6.140641212463379, 0, 'out', 'decode', 421, 1)
(6.261825084686279, 1, 'in', 'decode', 124, 1)
(6.261825084686279, 1, 'out', 'decode', 125, 1)
(6.640502691268921, 1, 'in', 'decode', 125, 1)
(6.640502691268921, 1, 'out', 'decode', 126, 1)
(6.763678312301636, 0, 'in', 'decode', 421, 1)
(6.763678312301636, 0, 'out', 'decode', 422, 1)
(7.021107912063599, 1, 'in', 'decode', 126, 1)
(7.021107912063599, 1, 'out', 'decode', 127, 1)
(7.209625244140625, 0, 'in', 'decode', 422, 1)
(7.209625244140625, 0, 'out', 'decode', 423, 1)
(7.400497198104858, 1, 'in', 'decode', 127, 1)
(7.400497198104858, 1, 'out', 'decode', 128, 1)
(7.6571714878082275, 0, 'in', 'decode', 423, 1)
(7.6571714878082275, 0, 'out', 'decode', 424, 1)
(7.780083417892456, 1, 'in', 'decode', 128, 1)
(7.780083417892456, 1, 'out', 'decode', 129, 1)
(8.106118440628052, 0, 'in', 'decode', 424, 1)
(8.106118440628052, 0, 'out', 'decode', 425, 1)
(8.158731698989868, 1, 'in', 'decode', 129, 1)
(8.158731698989868, 1, 'out', 'decode', 130, 1)
(8.536743402481079, 1, 'in', 'decode', 130, 1)
(8.536743402481079, 1, 'out', 'decode', 131, 1)
(8.561606168746948, 0, 'in', 'decode', 425, 1)
(8.561606168746948, 0, 'out', 'decode', 426, 1)
(8.754703044891357, 2, 'out', 'prompt', 0, 389)
(8.918308973312378, 1, 'in', 'decode', 131, 1)
(9.010079145431519, 0, 'in', 'decode', 426, 1)
(9.010079145431519, 0, 'out', 'decode', 427, 1)
(9.700040102005005, 0, 'in', 'decode', 427, 1)
(9.700040102005005, 0, 'out', 'decode', 428, 1)
(10.074148178100586, 3, 'out', 'prompt', 0, 423)
(10.311187028884888, 2, 'in', 'prompt', 0, 389)
(10.311187028884888, 2, 'out', 'decode', 389, 1)
(10.33564281463623, 0, 'in', 'decode', 428, 1)
(10.33564281463623, 0, 'out', 'decode', 429, 1)
(10.825769901275635, 2, 'in', 'decode', 389, 1)
(10.825769901275635, 2, 'out', 'decode', 390, 1)
(11.203922748565674, 2, 'in', 'decode', 390, 1)
(11.203922748565674, 2, 'out', 'decode', 391, 1)
(11.58161187171936, 2, 'in', 'decode', 391, 1)
(11.58161187171936, 2, 'out', 'decode', 392, 1)
(11.73392391204834, 0, 'in', 'decode', 429, 1)
(11.73392391204834, 0, 'out', 'decode', 430, 1)
(11.910684585571289, 3, 'in', 'prompt', 0, 423)
(11.910684585571289, 3, 'out', 'decode', 423, 1)
(11.958991527557373, 2, 'in', 'decode', 392, 1)
(11.958991527557373, 2, 'out', 'decode', 393, 1)
(12.176615476608276, 0, 'in', 'decode', 430, 1)
(12.176615476608276, 0, 'out', 'decode', 431, 1)
(12.333811044692993, 2, 'in', 'decode', 393, 1)
(12.333811044692993, 2, 'out', 'decode', 394, 1)
(12.375335693359375, 3, 'in', 'decode', 423, 1)
(12.375335693359375, 3, 'out', 'decode', 424, 1)
(12.417821407318115, 4, 'out', 'prompt', 0, 1051)
(12.61966323852539, 0, 'in', 'decode', 431, 1)
(12.61966323852539, 0, 'out', 'decode', 432, 1)
(12.711269855499268, 2, 'in', 'decode', 394, 1)
(12.711269855499268, 2, 'out', 'decode', 395, 1)
(12.814997434616089, 3, 'in', 'decode', 424, 1)
(12.814997434616089, 3, 'out', 'decode', 425, 1)
(14.034142971038818, 2, 'in', 'decode', 395, 1)
(14.034142971038818, 2, 'out', 'decode', 396, 1)
(14.417086601257324, 2, 'in', 'decode', 396, 1)
(14.417086601257324, 2, 'out', 'decode', 397, 1)
(14.802345275878906, 2, 'in', 'decode', 397, 1)
(14.802345275878906, 2, 'out', 'decode', 398, 1)
(15.184717416763306, 2, 'in', 'decode', 398, 1)
(15.184717416763306, 2, 'out', 'decode', 399, 1)
(15.56691575050354, 2, 'in', 'decode', 399, 1)
(15.56691575050354, 2, 'out', 'decode', 400, 1)
(15.949059009552002, 2, 'in', 'decode', 400, 1)
(15.949059009552002, 2, 'out', 'decode', 401, 1)
(16.11717939376831, 3, 'in', 'decode', 425, 1)
(16.11717939376831, 3, 'out', 'decode', 426, 1)
(16.79150128364563, 4, 'in', 'prompt', 0, 1051)
(16.79150128364563, 4, 'out', 'decode', 1051, 1)
