(0.10000014305114746, 0, 'out', 'prompt', 0, 195)
(0.20000028610229492, 1, 'out', 'prompt', 0, 421)
(0.3000004291534424, 2, 'out', 'prompt', 0, 1137)
(0.40000033378601074, 3, 'out', 'prompt', 0, 406)
(0.5000002384185791, 4, 'out', 'prompt', 0, 121)
(0.6000006198883057, 5, 'out', 'prompt', 0, 1061)
(0.700000524520874, 6, 'out', 'prompt', 0, 389)
(0.8000006675720215, 7, 'out', 'prompt', 0, 1069)
(0.9000003337860107, 8, 'out', 'prompt', 0, 1040)
(1.0, 9, 'out', 'prompt', 0, 423)
(1.1000006198883057, 10, 'out', 'prompt', 0, 210)
(1.200000286102295, 11, 'out', 'prompt', 0, 1345)
(1.3000006675720215, 12, 'out', 'prompt', 0, 394)
(1.400000810623169, 13, 'out', 'prompt', 0, 1051)
(1.500000238418579, 14, 'out', 'prompt', 0, 1170)
(1.6000003814697266, 15, 'out', 'prompt', 0, 402)
(1.700000524520874, 16, 'out', 'prompt', 0, 375)
(1.8000006675720215, 17, 'out', 'prompt', 0, 420)
(1.900000810623169, 18, 'out', 'prompt', 0, 401)
(2.000000238418579, 19, 'out', 'prompt', 0, 414)
(2.1000003814697266, 20, 'out', 'prompt', 0, 238)
(2.200000047683716, 21, 'out', 'prompt', 0, 1225)
(2.3000004291534424, 22, 'out', 'prompt', 0, 182)
(2.4000000953674316, 23, 'out', 'prompt', 0, 1104)
(2.500000238418579, 24, 'out', 'prompt', 0, 213)
(2.6000008583068848, 25, 'out', 'prompt', 0, 406)
(2.700000286102295, 26, 'out', 'prompt', 0, 210)
(2.8000009059906006, 27, 'out', 'prompt', 0, 1317)
(2.9000003337860107, 28, 'out', 'prompt', 0, 1063)
(3.000000238418579, 29, 'out', 'prompt', 0, 1067)
(3.1000006198883057, 30, 'out', 'prompt', 0, 1485)
(3.200000762939453, 31, 'out', 'prompt', 0, 410)
(3.3000004291534424, 32, 'out', 'prompt', 0, 1093)
(3.4000003337860107, 33, 'out', 'prompt', 0, 396)
(3.500000238418579, 34, 'out', 'prompt', 0, 204)
(3.6000003814697266, 35, 'out', 'prompt', 0, 1150)
(3.700000286102295, 36, 'out', 'prompt', 0, 222)
(3.8000001907348633, 37, 'out', 'prompt', 0, 379)
(3.900001049041748, 38, 'out', 'prompt', 0, 204)
(4.0, 39, 'out', 'prompt', 0, 1097)
(4.100000381469727, 40, 'out', 'prompt', 0, 441)
(4.200000524520874, 41, 'out', 'prompt', 0, 1078)
(4.300000429153442, 42, 'out', 'prompt', 0, 168)
(4.3552751541137695, 0, 'in', 'prompt', 0, 195)
(4.3552751541137695, 0, 'out', 'decode', 195, 1)
(4.400000095367432, 43, 'out', 'prompt', 0, 1042)
(4.5, 44, 'out', 'prompt', 0, 182)
(4.600000381469727, 45, 'out', 'prompt', 0, 1028)
(4.700000286102295, 46, 'out', 'prompt', 0, 1354)
(4.800000190734863, 47, 'out', 'prompt', 0, 408)
(4.900000333786011, 48, 'out', 'prompt', 0, 204)
(5.000000476837158, 49, 'out', 'prompt', 0, 1090)
(5.009787321090698, 1, 'in', 'prompt', 0, 421)
(5.009787321090698, 1, 'out', 'decode', 421, 1)
(5.972280740737915, 4, 'in', 'prompt', 0, 121)
(5.972280740737915, 4, 'out', 'decode', 121, 1)
(6.4746692180633545, 2, 'in', 'prompt', 0, 1137)
(6.4746692180633545, 2, 'out', 'decode', 1137, 1)
(6.680636167526245, 10, 'in', 'prompt', 0, 210)
(6.680636167526245, 10, 'out', 'decode', 210, 1)
(6.680669784545898, 3, 'in', 'prompt', 0, 406)
(6.680669784545898, 3, 'out', 'decode', 406, 1)
(6.680669784545898, 6, 'in', 'prompt', 0, 389)
(6.680669784545898, 6, 'out', 'decode', 389, 1)
(6.915255308151245, 5, 'in', 'prompt', 0, 1061)
(6.915255308151245, 5, 'out', 'decode', 1061, 1)
