(0, 194, 96, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(1, 420, 124, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(2, 1136, 375, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(3, 405, 103, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(4, 120, 12, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(5, 1060, 415, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(6, 388, 84, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(7, 1068, 429, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(8, 1039, 401, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(10, 209, 193, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(9, 422, 144, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(11, 1344, 56, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(12, 393, 60, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(13, 1050, 397, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(14, 1169, 421, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(15, 401, 109, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(16, 374, 114, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(17, 419, 148, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(18, 400, 89, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(19, 413, 106, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(20, 237, 126, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(21, 1224, 433, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(22, 181, 120, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(23, 1103, 414, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(24, 212, 183, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(25, 405, 94, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(26, 209, 217, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(27, 1316, 135, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(28, 109, 120, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(29, 1062, 415, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(30, 1066, 415, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(31, 1484, 88, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(32, 409, 93, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(33, 1092, 389, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(34, 395, 83, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(35, 203, 138, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(36, 1149, 398, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(37, 221, 48, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(38, 378, 69, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(39, 203, 217, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(40, 1096, 398, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(41, 440, 95, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(42, 1077, 483, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(43, 167, 217, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(44, 1041, 400, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(45, 181, 257, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(46, 1027, 396, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(47, 1353, 156, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(48, 407, 115, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(49, 203, 162, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(50, 1089, 525, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(51, 1316, 125, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(52, 408, 96, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(53, 1245, 384, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(54, 397, 127, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(55, 381, 76, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(56, 395, 101, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(57, 1146, 605, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(58, 794, 70, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(59, 1117, 427, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(60, 1064, 82, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(61, 431, 115, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(62, 476, 112, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(63, 393, 88, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(64, 392, 42, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(65, 976, 40, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(66, 1195, 507, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(67, 1071, 395, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(68, 120, 12, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(69, 1147, 498, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(70, 1189, 74, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(71, 212, 217, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(72, 194, 217, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(73, 1082, 385, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(74, 415, 119, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(75, 405, 94, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(76, 1316, 159, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(77, 402, 113, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(78, 381, 73, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(79, 200, 205, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(80, 394, 155, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(81, 405, 85, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(82, 1015, 409, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(83, 997, 394, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(84, 381, 71, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(85, 400, 120, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(86, 333, 18, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(87, 1210, 380, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(88, 200, 130, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(89, 375, 96, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(90, 374, 62, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(91, 163, 157, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(92, 375, 70, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(93, 1029, 406, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(94, 1010, 411, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(95, 17, 81, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(96, 1335, 570, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(97, 420, 99, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(98, 1019, 411, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(99, 424, 114, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(100, 1539, 94, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(101, 1018, 429, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(102, 379, 78, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(103, 1033, 396, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(104, 1999, 97, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(105, 203, 217, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(106, 1027, 414, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(107, 1101, 391, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(108, 1126, 447, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(109, 210, 64, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(110, 1189, 74, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(111, 994, 392, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(112, 1065, 411, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(113, 1102, 612, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(114, 181, 112, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(115, 379, 48, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(116, 1119, 413, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(117, 1083, 409, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(118, 181, 162, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(119, 1317, 160, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(120, 374, 76, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(121, 401, 144, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(122, 406, 165, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(123, 1092, 720, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(124, 1314, 232, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(125, 1028, 55, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(126, 396, 59, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(127, 1126, 397, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(128, 415, 142, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(129, 1731, 109, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(130, 806, 117, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(131, 409, 143, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(132, 1316, 207, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(133, 1070, 521, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(134, 181, 264, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(135, 1094, 376, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(136, 433, 87, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(137, 405, 94, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(138, 479, 75, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(139, 449, 95, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(140, 1073, 411, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(141, 1061, 415, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(142, 459, 387, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(143, 383, 57, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(144, 1163, 418, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(145, 1130, 396, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(146, 1044, 462, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(147, 428, 101, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(148, 422, 111, [1, 2, 0], [0, 16, 32], [16, 32, 32])
