(2.2740225791931152, 0, 'out', 'prompt', 0, 421)
(10.457902669906616, 1, 'out', 'prompt', 0, 389)
(16.75027847290039, 2, 'out', 'prompt', 0, 423)
(18.41793966293335, 3, 'out', 'prompt', 0, 1051)
(19.412806272506714, 0, 'in', 'prompt', 0, 421)
(19.41281533241272, 0, 'out', 'decode', 421, 1)
(19.412843227386475, 1, 'in', 'prompt', 0, 389)
(19.412850856781006, 1, 'out', 'decode', 389, 1)
(19.412850856781006, 2, 'in', 'prompt', 0, 423)
(19.41287660598755, 2, 'out', 'decode', 423, 1)
(19.41287660598755, 3, 'in', 'prompt', 0, 1051)
(19.41288685798645, 3, 'out', 'decode', 1051, 1)
(19.489353895187378, 0, 'in', 'decode', 421, 1)
(19.48935627937317, 0, 'out', 'decode', 422, 1)
(19.489365816116333, 1, 'in', 'decode', 389, 1)
(19.489368200302124, 1, 'out', 'decode', 390, 1)
(19.505290031433105, 2, 'in', 'decode', 423, 1)
(19.505292654037476, 2, 'out', 'decode', 424, 1)
(19.505302906036377, 3, 'in', 'decode', 1051, 1)
(19.50530505180359, 3, 'out', 'decode', 1052, 1)
(19.530882120132446, 0, 'in', 'decode', 422, 1)
(19.530900716781616, 0, 'out', 'decode', 423, 1)
(19.530941247940063, 1, 'in', 'decode', 390, 1)
(19.530949115753174, 1, 'out', 'decode', 391, 1)
(19.54728865623474, 2, 'in', 'decode', 424, 1)
(19.54729700088501, 2, 'out', 'decode', 425, 1)
(19.547308206558228, 3, 'in', 'decode', 1052, 1)
(19.547313690185547, 3, 'out', 'decode', 1053, 1)
(19.562477827072144, 0, 'in', 'decode', 423, 1)
(19.562480211257935, 0, 'out', 'decode', 424, 1)
(19.56248927116394, 1, 'in', 'decode', 391, 1)
(19.562491178512573, 1, 'out', 'decode', 392, 1)
(19.57842779159546, 2, 'in', 'decode', 425, 1)
(19.578431606292725, 2, 'out', 'decode', 426, 1)
(19.57844042778015, 3, 'in', 'decode', 1053, 1)
(19.578442573547363, 3, 'out', 'decode', 1054, 1)
(19.59368348121643, 0, 'in', 'decode', 424, 1)
(19.593685626983643, 0, 'out', 'decode', 425, 1)
(19.59369421005249, 1, 'in', 'decode', 392, 1)
(19.593696355819702, 1, 'out', 'decode', 393, 1)
(19.609391927719116, 2, 'in', 'decode', 426, 1)
(19.6093966960907, 2, 'out', 'decode', 427, 1)
