(0, 420, 124, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(1, 388, 84, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(2, 422, 144, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(3, 1050, 397, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(4, 374, 114, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(5, 237, 126, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(6, 405, 94, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(7, 1066, 415, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(8, 1092, 389, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(9, 203, 217, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(10, 1077, 483, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(11, 181, 257, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(12, 203, 162, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(13, 408, 96, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(14, 381, 76, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(15, 1117, 427, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(16, 393, 88, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(17, 1071, 395, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(18, 212, 217, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(19, 405, 94, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(20, 402, 113, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(21, 405, 85, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(22, 333, 18, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(23, 374, 62, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(24, 1010, 411, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(25, 424, 114, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(26, 379, 78, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(27, 1999, 97, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(28, 1126, 447, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(29, 1065, 411, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(30, 1119, 413, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(31, 374, 76, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(32, 1314, 232, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(33, 415, 142, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(34, 1070, 521, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(35, 405, 94, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(36, 1061, 415, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(37, 1163, 418, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(38, 984, 429, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(39, 1036, 395, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(40, 945, 388, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(41, 1022, 443, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(42, 395, 97, [1, 2, 0], [0, 16, 32], [16, 32, 32])
