(2.2738633155822754, 0, 'out', 'prompt', 0, 421)
(5.182990312576294, 0, 'in', 'prompt', 0, 421)
(5.182990312576294, 0, 'out', 'decode', 421, 1)
(5.964626789093018, 0, 'in', 'decode', 421, 1)
(5.964626789093018, 0, 'out', 'decode', 422, 1)
(6.417964935302734, 0, 'in', 'decode', 422, 1)
(6.417964935302734, 0, 'out', 'decode', 423, 1)
(6.874531269073486, 0, 'in', 'decode', 423, 1)
(6.874531269073486, 0, 'out', 'decode', 424, 1)
(7.3310019969940186, 0, 'in', 'decode', 424, 1)
(7.3310019969940186, 0, 'out', 'decode', 425, 1)
(7.788470268249512, 0, 'in', 'decode', 425, 1)
(7.788470268249512, 0, 'out', 'decode', 426, 1)
(8.242512941360474, 0, 'in', 'decode', 426, 1)
(8.242512941360474, 0, 'out', 'decode', 427, 1)
(8.698896884918213, 0, 'in', 'decode', 427, 1)
(8.698896884918213, 0, 'out', 'decode', 428, 1)
(9.152049541473389, 0, 'in', 'decode', 428, 1)
(9.152049541473389, 0, 'out', 'decode', 429, 1)
(9.60547661781311, 0, 'in', 'decode', 429, 1)
(9.60547661781311, 0, 'out', 'decode', 430, 1)
(10.065170764923096, 0, 'in', 'decode', 430, 1)
(10.065170764923096, 0, 'out', 'decode', 431, 1)
(10.457783937454224, 1, 'out', 'prompt', 0, 389)
(10.518913507461548, 0, 'in', 'decode', 431, 1)
(10.518913507461548, 0, 'out', 'decode', 432, 1)
(11.415799617767334, 0, 'in', 'decode', 432, 1)
(11.415799617767334, 0, 'out', 'decode', 433, 1)
(12.053041219711304, 1, 'in', 'prompt', 0, 389)
(12.053041219711304, 1, 'out', 'decode', 389, 1)
(12.077688694000244, 0, 'in', 'decode', 433, 1)
(12.077688694000244, 0, 'out', 'decode', 434, 1)
(12.517961025238037, 1, 'in', 'decode', 389, 1)
(12.517961025238037, 1, 'out', 'decode', 390, 1)
(12.542370557785034, 0, 'in', 'decode', 434, 1)
(12.542370557785034, 0, 'out', 'decode', 435, 1)
(12.896860361099243, 1, 'in', 'decode', 390, 1)
(12.896860361099243, 1, 'out', 'decode', 391, 1)
(12.991097688674927, 0, 'in', 'decode', 435, 1)
(12.991097688674927, 0, 'out', 'decode', 436, 1)
(13.275766849517822, 1, 'in', 'decode', 391, 1)
(13.275766849517822, 1, 'out', 'decode', 392, 1)
(13.437116384506226, 0, 'in', 'decode', 436, 1)
(13.437116384506226, 0, 'out', 'decode', 437, 1)
(13.655301094055176, 1, 'in', 'decode', 392, 1)
(13.655301094055176, 1, 'out', 'decode', 393, 1)
(13.88411545753479, 0, 'in', 'decode', 437, 1)
(13.88411545753479, 0, 'out', 'decode', 438, 1)
(14.03304648399353, 1, 'in', 'decode', 393, 1)
(14.03304648399353, 1, 'out', 'decode', 394, 1)
(14.333302974700928, 0, 'in', 'decode', 438, 1)
(14.333302974700928, 0, 'out', 'decode', 439, 1)
(14.410240888595581, 1, 'in', 'decode', 394, 1)
(14.410240888595581, 1, 'out', 'decode', 395, 1)
(14.786239862442017, 0, 'in', 'decode', 439, 1)
(14.786239862442017, 0, 'out', 'decode', 440, 1)
(14.813096523284912, 1, 'in', 'decode', 395, 1)
(14.813096523284912, 1, 'out', 'decode', 396, 1)
(15.193303346633911, 1, 'in', 'decode', 396, 1)
(15.193303346633911, 1, 'out', 'decode', 397, 1)
(15.232092142105103, 0, 'in', 'decode', 440, 1)
(15.232092142105103, 0, 'out', 'decode', 441, 1)
(15.574281930923462, 1, 'in', 'decode', 397, 1)
(15.574281930923462, 1, 'out', 'decode', 398, 1)
(15.676850080490112, 0, 'in', 'decode', 441, 1)
(15.676850080490112, 0, 'out', 'decode', 442, 1)
(15.955840349197388, 1, 'in', 'decode', 398, 1)
(15.955840349197388, 1, 'out', 'decode', 399, 1)
(16.12363338470459, 0, 'in', 'decode', 442, 1)
(16.12363338470459, 0, 'out', 'decode', 443, 1)
(16.33906841278076, 1, 'in', 'decode', 399, 1)
(16.33906841278076, 1, 'out', 'decode', 400, 1)
(16.57099485397339, 0, 'in', 'decode', 443, 1)
(16.57099485397339, 0, 'out', 'decode', 444, 1)
(16.718826293945312, 1, 'in', 'decode', 400, 1)
(16.718826293945312, 1, 'out', 'decode', 401, 1)
(16.75014638900757, 2, 'out', 'prompt', 0, 423)
(17.018784523010254, 0, 'in', 'decode', 444, 1)
(17.018784523010254, 0, 'out', 'decode', 445, 1)
(17.09577178955078, 1, 'in', 'decode', 401, 1)
(17.09577178955078, 1, 'out', 'decode', 402, 1)
(17.64240002632141, 1, 'in', 'decode', 402, 1)
(17.64240002632141, 1, 'out', 'decode', 403, 1)
(18.024311304092407, 1, 'in', 'decode', 403, 1)
(18.024311304092407, 1, 'out', 'decode', 404, 1)
(18.309117317199707, 0, 'in', 'decode', 445, 1)
(18.309117317199707, 0, 'out', 'decode', 446, 1)
(18.402155876159668, 1, 'in', 'decode', 404, 1)
(18.402155876159668, 1, 'out', 'decode', 405, 1)
